original_query,fixed_query,retrieved_docs,expected_id,passed
 Wie finde ich den Weg zum IBAP?,,"Berufspädagogik und Allgemeine Pädagogik (IBAP), Institut für,Beschleunigerphysik und Technologie (IBPT) - Direktor/Verwaltung, Institut für,Angewandte Materialien - Angewandte Werkstoffphysik (IAM-AWP), Institut für,Institut für Arbeitswissenschaft und Betriebsorganisation (ifab),Astroteilchenphysik (IAP), Institut für","Berufspädagogik und Allgemeine Pädagogik (IBAP), Institut für",True
 Was ist der schnellste Weg zum Gebäude 607?,,"607,9607,11.22,30.91,Thermische Verfahrenstechnik, Institut für",607,True
 Ist der Zugang zu Gebäude 7011 ein hierher frei?,,"Bereich IV - Natürliche und gebaute Umwelt (CS),Lernzentrum am Fasanenschlösschen (Geb. 30.28),Pressestelle (STS),Chemie-Hörsaal III (30.41),Fritz-Haller-Hörsaal (20.40)",70.11,False
 Verfügt der Hauptengang des Gebäudes 633 über eine barrierefreie Zugangsmöglichkeit?,,"633,9633 B,9633 A",633,True
 Ist das Gebäude 40.02 Barriere frei zugänglich?,,"40.02,20.40,Fritz-Haller-Hörsaal (20.40),Rudolf-Criegee-Hörsaal (30.41),40.11",40.02,True
" Können Sie mir sagen, was das Institut für Mikroverfahrenstechnik geöffnet hat?",,"Mikroverfahrenstechnik (IMVT) , Institut für,Thermische Verfahrenstechnik, Institut für,Mikro- und Nanoelektronische Systeme (IMS), Institut für,Professur für Makroökonomik, Institut für Volkswirtschaftslehre (ECON),Professur für Netzwerkökonomie, Institut für Volkswirtschaftslehre (ECON","Mikroverfahrenstechnik (IMVT) , Institut für",True
 Kannst du mir den Weg zum Institut für Sport und Sportwissenschaften zeigen?,,"Sport und Sportwissenschaft, Institut für,Fachschaft Sport,Institut für Arbeitswissenschaft und Betriebsorganisation (ifab),Biologische Grenzflächen (IBG), Institut für,Biomedizinische Technik, Institut für","Sport und Sportwissenschaft, Institut für",True
 Können Sie mir den Standort von Gebäude 145 m teil?,,"145,30.33,30.31,10.91,11.22",145,True
" Kann man 11, 40 eigentlich mit einem Rollstuhl erreichen?",,"40.40,40.16,40.18,40.15,40.14",11.40,False
 Hat Gebäude 741 momentan geöffnet.,,"741,145,Chemie-Hörsaal III (30.41),Fritz-Haller-Hörsaal (20.40),Franz-Grashof-Hörsaal (10.91)",741,True
 Können Sie mir den Weg zu Gebäude 309 ansech zeigen?,,"309,407,10.22 - LAZ,10.23,10.91",329,False
 In welchen Bereich finde ich den Gewollde komplex 10.84.,,"10.84,30.24,10.91,Bereich IV - Natürliche und gebaute Umwelt (CS),Bereich IV - Natürliche und gebaute Umwelt (CN)",10.84,True
 Können Sie mir den besten Weg zum KIT-Schatten am Campus-Os zeigen?,,"30.51,KIT-Zentrum Energie,KIT-Shuttle (Haltestelle Campus Ost),KIT-Shuttle (Haltestelle Campus Nord, Südtor),KIT-Zentrum für Klima und Umwelt",KIT-Shuttle (Haltestelle Campus Ost),True
 Ist der Zugang zum Institut für Technische und Polier Chemie Barrierefrei?,,"Technische Chemie und Polymerchemie, Institut für,11.23,11.21,Technische Chemie (ITC), Institut für,Engler-Bunte-Institut, Bereich I, Chemische Energieträger - Brennstofftechnologie (EBI-CEB)","Technische Chemie und Polymerchemie, Institut für",True
 Können Sie mir bitte die Adresse von Gebäude 30-43 knennen.,,"30.90,40.12,30.93,40.13,40.14",30.43,False
 Können Sie mir die URL für Gebäude 308 nennen.,,"308,315,333,11.22,20.40",308,True
 An welcher Stelle büchendet sich Gebäude 239.,,"239,228,227,243,250",239,True
 Wo steht Gebäude 40.25?,,"40.25,40.40,20.50,30.43,Rudolf-Plank-Hörsaal (40.32)",40.25,True
 In welcher Adresse finde ich das internationale Studiensoffes INTL?,,"International Students Office (INTL),Internationales (INTL),International Scholars & Welcome Office (Campus Süd),International Scholars & Welcome Office (Campus Nord),Nanotechnologie (INT), Institut für",International Students Office (INTL),True
 Was ist die Adresse von Gebäude 10.34?,,"10.34,50.33,10.95,10.88,10.91",10.34,True
" Oberfindet sich das Institut für Thermodynamische Informatik, die Arbeitsgruppe, Kriptografie und Sicherheit.",,"Technische Thermodynamik, Institut für,Angewandte Thermofluidik (IATF), Institut für,Technische Thermodynamik und Kältetechnik, Institut für,Mess- und Regelungstechnik MRT, Institut für,Thermische Strömungsmaschinen, Institut für","Theoretische Informatik, Arbeitsgruppe Kryptographie und Sicherheit (IKS), Institut für",False
 Wo hat die Fachschaft geistet und Sozialwissenschaften ihren Sitz?,,"Fachschaft Geistes- und Sozialwissenschaften,Studienzentrum für Sehgeschädigte (SZS),Soziologie, Medien- und Kulturwissenschaften (ISMK), Institut für ,Fachschaft Chemie und Biowissenschaften,Professur für Finanzwissenschaft und Public Management, Institut für Volkswirtschaftslehre (ECON)",Fachschaft Geistes- und Sozialwissenschaften,True
 Wo steht Gebäude 70.26?,,"70.26,30.95,30.81,30.79,50.38",70.26,True
 Wie ist die Lage von Gebäude 915?,,"915,Hörsaal 101 (10.50),Angewandte Materialien - Werkstoffkunde (IAM-WK) Gebäude 10.91, Institut für,Mittlerer Hörsaal Maschinenbau (10.91),Bereich III - Maschinenbau und Elektrotechnik (CN)",915,True
 Welcher Adress hat das Gebäude 736?,,"736,01.85,Chemie-Hörsaal III (30.41),Chemie-Hörsaal II (30.41),Lernzentrum am Fasanenschlösschen (Geb. 30.28)",736,True
 Wo befindet sich Gebäude 666?,,"666,Chemie-Hörsaal II (30.41),Chemie-Hörsaal III (30.41),Lernzentrum am Fasanenschlösschen (Geb. 30.28),Pressestelle (STS)",666,True
 An welcher Adresse finde ich die Gebäude 901?,,"901,902,903,907,30.60",901,True
 Können Sie die Lage von Gebäude 686 angeben?,,"686,10.91,Lernzentrum am Fasanenschlösschen (Geb. 30.28),Mittlerer Hörsaal Maschinenbau (10.91),Pressestelle (STS)",686,True
" Wie oder was ist hier Dresse von Gebäude 6, 6, 8?",,"Fachschaft Sport,Architektur-Hörsaal 9 (20.40),Friedrich-Engesser-Hörsaal (10.81),Franz-Grashof-Hörsaal (10.91),Egon-Eiermann-Hörsaal (20.40)",668,False
 Wo steht das Gebäude 741?,,"741,Karlsruhe House of Young Scientists (KHYS),Bereich IV - Natürliche und gebaute Umwelt (CS),Franz-Grashof-Hörsaal (10.91),Schwerbehindertenvertretung (SBV) Campus Süd",741,True
 Können Sie mir den Standort von Gebäude 726 mitteilen?,,"726,10.91,Lernzentrum am Fasanenschlösschen (Geb. 30.28),Bereich IV - Natürliche und gebaute Umwelt (CS),Pressestelle (STS)",726,True
 Das ist der Standort von Gebäude 800 und 3.,,"Bereich IV - Natürliche und gebaute Umwelt (CS),Franz-Grashof-Hörsaal (10.91),Bauingenieure-Hörsaal (50.31),Chemie-Hörsaal III (30.41),Mittlerer Hörsaal Maschinenbau (10.91)",803,False
 Wo genau ist Gebäude 706 lokalisiert?,,"706,11.22,10.91,Chemie-Hörsaal III (30.41),Chemie-Hörsaal II (30.41)",706,True
" An welchem Standort steht, gibt es Gebäude 911?",,"911,Audimax (30.95),11.22,KIT-Shuttle (Haltestelle Campus Nord, Südtor),Franz-Grashof-Hörsaal (10.91)",911,True
 Was ist die Adresse von Energy Labs?,,"Energy Lab,Laboratorium für Elektronenmikroskopie (LEM),Thermische Energietechnik und Sicherheit (ITES), Institut für,Angewandte Materialien - Energiespeichersysteme (IAM-ESS) , Institut für,KIT-Zentrum Energie",Energy Lab,True
 Wann sind die Türen das Informatikbaus wieder offen?,,"Technische Informatik (ITEC), Institut für,50.34,Anthropomatik und Robotik, Institut für,Fachschaft Informatik,Fachschaft Mathematik und Informatik",Informatikbau,False
" Ablicher Uhrzeit ist Gebäude 20, 54 wieder geöffnet.",,"30.90,30.23,11.22,Egon-Eiermann-Hörsaal (20.40),Fritz-Haller-Hörsaal (20.40)",20.54,False
 Bandgebäude 10.11 wieder zugänglich,,"Heinrich-Hertz-Hörsaal (10.11),10.11,11.40,10.23,Johann-Gottfried-Tulla-Hörsaal (11.40)",10.11,True
 Wann startet das Intro-Kaffee wieder seinen Betrieb?,,"Institut für Wirtschaftsinformatik (WIN),01.12,01.13,Kantine (Campus Nord),Professur für Politische Ökonomie, Institut für Volkswirtschaftslehre (ECON)",intro Café,False
 Wann wird Gebäude 10 45 wieder aufgeschlossen? Ich meinte 145.,,"145,10.11,40.40,40.14,30.45",145,True
 Wann öffnet das Institut für Antropomatic und Robotik wieder seine Pforten?,,"Anthropomatik und Robotik, Institut für,Elektrotechnisches Institut (ETI),Theoretische Elektrotechnik und Systemoptimierung (ITE), Institut für,Nanotechnologie (INT), Institut für,Automation und Angewandte Informatik (IAI), Institut für","Anthropomatik und Robotik, Institut für",True
" Advanced Gebäude 532, wieder zugänglich.",,"532,B402,Lernzentrum am Fasanenschlösschen (Geb. 30.28),Franz-Grashof-Hörsaal (10.91),Thermische Strömungsmaschinen, Institut für",532,True
" Ab welchen Zeitpunkt ist das Gebäude Technik, Thermodynamik und Kälte Technik, Mess- und Regelungstechnik Instituts Gebäude wieder offen?",,"Technische Thermodynamik und Kältetechnik, Institut für,Technische Thermodynamik, Institut für,Mess- und Regelungstechnik MRT, Institut für,Angewandte Thermofluidik (IATF), Institut für,Thermische Strömungsmaschinen, Institut für","Tech.Thermodyn.u.Kältetechn./ Mess-u.Regelungstechn., Institutsgeb.",False
 Zu welcher Zeit erfund gebeute 304 wieder.,,"304,311,343,333,404",304,True
 Ab wann kann man das Gebäude starb und Strategie wieder betreten?,,"Stab und Strategie (STS),Gottlieb-Daimler-Hörsaal (10.21),Wolfgang-Gaede-Hörsaal (30.22),Egon-Eiermann-Hörsaal (20.40),Architektur-Hörsaal 9 (20.40)",Stab und Strategie (STS),True
 Wann macht das Gastutz hinten aus? Wir hättest du doch mal heimrich herz wieder auf.,,"Gottlieb-Daimler-Hörsaal (10.21),01.52,Chemie-Hörsaal III (30.41),Chemie-Hörsaal II (30.41),Rudolf-Criegee-Hörsaal (30.41)",Gastdozentenhaus Heinrich Hertz,False
 Abwand ist Gebäude 546 wieder offen.,,"546,20.52,Franz-Grashof-Hörsaal (10.91),10.84,Bereich IV - Natürliche und gebaute Umwelt (CS)",546,True
 Zu welcher Zeit macht die Fachschaft Kunstgeschichte auf?,,"Fachschaft Kunstgeschichte,Fachschaft WiWi,Fachschaft Architektur,Fachschaft Sport,Fachschaft Chemie und Biowissenschaften",Fachschaft Kunstgeschichte,True
 Wann macht das Institutsgebäude Boden und Felsmechanik auch?,,"40.25,40.23,40.22,Bodenmechanik und Felsmechanik (IBF) , Institut für,Mechanische Verfahrenstechnik und Mechanik (MVM), Institut für",Institutsgebäude Boden- und Felsmechanik,False
" Ab wann ist das Gebäude 10, 50 dazu gänglich?",,"10.50,30.90,30.93,50.33,30.91",10.50,True
" Wann ist Gebäude 6,88 wieder zugänglich?",,"10.91,11.22,Mittlerer Hörsaal Maschinenbau (10.91),Franz-Grashof-Hörsaal (10.91),20.52",688,False
 An welchen Zeitpunkt ist 10.32 geöffnet?,,"10.32,30.23,30.82,30.24,Gottlieb-Daimler-Hörsaal (10.21)",10.32,True
 Zu welcher Zeit öffnet das Max-Rubener-Institut?,,"07.30,07.31,Bio- und Lebensmitteltechnik, Institut für,Angewandte Materialien - Werkstoff- und Grenzflächenmechanik (IAM-MMI), Institut für,Zentrale Studienberatung (ZSB)",Max Rubner-Institut,False
 Man macht Chemiturm 1 auf.,,"30.43,Chemie-Hörsaal II (30.41),Chemie-Hörsaal III (30.41),Chemie-Hörsaal I (30.41),Neuer Hörsaal Chemie (30.46)",Chemie-Turm I,False
 Wiegt Beschreibung zu Gebäude 230.,,"230,234,30.24,30.23,11.22",239,False
 Den Weg zu Gebäude 650 anzeigen.,,"650,11.22,30.80,Werkfeuerwehr,Angewandte Materialien - Werkstoffkunde (IAM-WK) Gebäude 10.91, Institut für",650,True
 Zeige die Route zu Dr. Franz Lust Gebäude.,,"50.25,B252,123,Fritz-Haller-Hörsaal (20.40),Kantine (Campus Nord)",Dr. Franz Lust,False
 Wegbeschreibung zum Gebäude 40.13,,"40.13,Egon-Eiermann-Hörsaal (20.40),11.22,Architektur-Hörsaal 9 (20.40),40.11",40.13,True
 Navigations- und Institut für Theoretische Festgapfer für Sieg-Bitter,,"Theoretische Festkörperphysik, Institut für,Festkörperphysik, Institut für,Versuchsanstalt für Stahl, Holz und Steine,Technische Thermodynamik, Institut für,Theoretische Elektrotechnik und Systemoptimierung (ITE), Institut für","Theoretische Festkörperphysik, Institut für",True
 Zeige den Weg zum Gebäude B621.,,"B621,B131,Gottlieb-Daimler-Hörsaal (10.21),Werkfeuerwehr,459",B621,True
 Navigation zum Elektrotechnischen Institut bitte,,"Fachschaft Elektro- und Informationstechnik,Elektrotechnisches Institut (ETI),Elektroenergiesysteme und Hochspannungstechnik , Institut für,Kleiner Hörsaal Elektrotechnik (11.10),Engler-Bunte-Institut Bereich Verbrennungstechnik (EBI-VBT)",Elektrotechnisches Institut,False
 Rote zu Gebäude 508 anzeigen.,,"508,30.90,B404,920,935",508,True
 Wegbeschreibung zum Informatikom 1,,"50.19 - InformatiKOM I,50.34,Bereich II - Informatik, Wirtschaft und Gesellschaft (CN),Bereich II - Informatik, Wirtschaft und Gesellschaft (CS),Theoretische Informatik (ITI), Institut für",InformatiKOM 1,False
 Den Weg zu Gebäude 908 anzeigen.,,"908,Werkfeuerwehr,Rechtsangelegenheiten (RECHT),Fritz-Haller-Hörsaal (20.40),Mittlerer Hörsaal Maschinenbau (10.91)",908,True
" Die Route zu Gebäude 30, 60 ist gesucht.",,"30.91,Rudolf-Plank-Hörsaal (40.32),315,11.22,Lernzentrum am Fasanenschlösschen (Geb. 30.28)",30.60,False
 Navigations- und Telekooperation auf es benötigt.,,"Telecooperation Office (TecO),Technik-Haus,11.22,40.28,Prozessdatenverarbeitung und Elektronik (IPE), Institut für",Telecooperation Office (TecO),True
 Wegbeschreibung zu Gebäude 9.600 und 7 mehr wünscht.,,"11.22,20.52,30.42,Chemie-Hörsaal III (30.41),Werkfeuerwehr",9607,False
 Ich suche den Weg zum Kool-Ligiengebäude am Zirkel.,,"20.21,20.20,Scientific Computing Center (SCC), CS,Telematik (ITM), Institut für,30.82",Kollegiengebäude am Zirkel,False
 Zum MTI-Hörsal navigieren. Bitte.,,"Messtechnik-Hörsaal (30.33),30.33,30.31,Biomedizinische Technik, Institut für,Theoretische Elektrotechnik und Systemoptimierung (ITE), Institut für",MTI-Hörsaal,False
 Navigation zum Rudolf Kriegehörsel gewünscht.,,"Rudolf-Plank-Hörsaal (40.32),Rudolf-Criegee-Hörsaal (30.41),Zentrale Studienberatung (ZSB),Gottlieb-Daimler-Hörsaal (10.21),121",Rudolf-Criegee-Hörsaal,False
 Route zur Wirtschaftsdissenschaftlichen Fakulteitsbibiotek,,"09.21,Institut für Operations Research (IOR), Bereich Stochastische Modellierung und Optimierung,Professur für Ökonometrie, Institut für Volkswirtschaftslehre (ECON),Professur für Makroökonomik, Institut für Volkswirtschaftslehre (ECON),Fachbibliothek WIWI",Wirtschaftswissenschaftliche Fakultätsbibliothek,False
 Weg zur Versuchshade der technischen Tablenamik zeigen.,,"Experimentelle Teilchenphysik (ETP), Institut für,Technische Thermodynamik, Institut für,Laboratorium für Elektronenmikroskopie (LEM),Interfakultatives Institut für Anwendungen der Informatik,Theorie der Kondensierten Materie, Institut für","Technische Thermodynamik und Kältetechnik, Versuchshalle",False
 Kann man aktuell in die Fachschaft geist soz?,,"Fachschaft Geistes- und Sozialwissenschaften,Fachschaft Sport,Fachschaft Chemie und Biowissenschaften,Fachschaft WiWi,Professur für Industrieökonomik, Institut für Volkswirtschaftslehre (ECON)",Fachschaft GeistSoz,False
" Ist das Gebäude 50, 40 momentan offen?",,"30.90,30.93,30.96,40.11,Rudolf-Plank-Hörsaal (40.32)",50.40,False
 Kann man derzeit ins Gebäude 300 ziehen?,,"300,3300,352,Rudolf-Criegee-Hörsaal (30.41),Wolfgang-Gaede-Hörsaal (30.22)",310,False
 Die Ambulanzmomentan zugänglich.,,"Medizinische Dienste (MED) CN,131,124,30.90,01.85",Ambulanz,False
 Ist das Gebäude 310 derzeit offen?,,"310,315,311,408,11.22",310,True
 Kann man gerade in Gebäude 5.20 rein.,,"05.20,10.91,11.22,30.21,Kleiner Hörsaal Bauingenieure (10.50)",05.20,True
 Ist die Versuchsanstalt das Köhleräuterinstituts derzeit geöffnet?,,"Versuchsanstalt für Stahl, Holz und Steine,30.33,30.31,Entrepreneurship, Technologie-Management und Innovation (EnTechnon), Institut für,20.44",Versuchsanstalt des Joseph Gottlieb Kölreuter Instituts für Pflanzenwissenschaften,False
 Kann man jetzt ins Gebäude 50.34?,,"50.34,50.40,30.90,30.95,30.93",50.34,True
 Hat die KITB-Bilute gerade auf?,,"30.51,30.82,310,303,Engler-Bunte-Hörsaal (40.50)",KIT-Bibliothek,False
 Es ist Gebäude 413 momentan zugänglich.,,"413,608,606,614,686",413,True
 Kann man aktuell ins Institut führen für Neutronen für SICK und Reaktortechnik?,,"Neutronenphysik und Reaktortechnik, Institut für,Photonenforschung und Synchrotronstrahlung (IPS), Institut für,Photonik und Quantenelektronik (IPQ), Institut für,Elektroenergiesysteme und Hochspannungstechnik , Institut für,Technische Thermodynamik, Institut für","Neutronenphysik und Reaktortechnik, Institut für",True
 Hat Gebäude 416 zu Zeit auf.,,"416,Chemie-Hörsaal III (30.41),30.42,Chemie-Hörsaal II (30.41),Mittlerer Hörsaal Maschinenbau (10.91)",416,True
 Ist das Institut für Wasser und Gewässerentwicklung? Wasserwirtschaft und Kulturtechnik momentan zugänglich?,,"10.83,Wasser und Umwelt (IWU), Institut für,Volkswirtschaftslehre, Institut für,Institut für Wirtschaftsinformatik (WIN),Finanzwirtschaft, Banken und Versicherungen (FBV), Institut für",Institut für Wasser und Gewässerentwicklung - Bereich Wasserwirtschaft und Kulturtechnik,False
 Kann man gerade ins Gebäude 4019 40.19,,"20.40,401,575,401 A,Egon-Eiermann-Hörsaal (20.40)",40.19,False
 Hat das Lernzentrum am Versamen schlöst ihr in derzeit geöffnet?,,"30.28,Lernzentrum am Fasanenschlösschen (Geb. 30.28),30.34,B131,08.03",Lernzentrum am Fasanenschlösschen,False
 Ist 220° offen?,,"220,10.84,Angewandte Thermofluidik (IATF), Institut für,Evaluationsstelle (STS-QM),KIT-Zentrum für Klima und Umwelt",223,False
 hat 40.29° auf,,"40.29,40.40,30.79,Rudolf-Plank-Hörsaal (40.32),30.43",40.29,True
 Hat das Kolleginnen Gebäude am Zierke gerade geöffnet?,,"20.20,20.21,Johann-Gottfried-Tulla-Hörsaal (11.40),Wirtschaftswissenschaften, KIT-Fakultät für,Egon-Eiermann-Hörsaal (20.40)",Kollegiengebäude am Zirkel,False
 Kann man aktuell in Gebäude 404 rein.,,"404,B404,403,580,10.91",404,True
 Kann man momentan ins ESL-Institut?,,"Angewandte Materialien - Energiespeichersysteme (IAM-ESS) , Institut für,Soziologie, Medien- und Kulturwissenschaften (ISMK), Institut für ,Elektrotechnisches Institut (ETI),Mikrostrukturtechnik (IMT), Institut für,Mikroverfahrenstechnik (IMVT) , Institut für","Entwerfen von Stadt und Landschaft (IESL), Institut",False
 Bis zu welcher Uzzat ist gebeute 0 1.9 0 zu gönntig.,,"01.96,01.94,01.93,01.92,01.90",01.90,True
 Zu welcher Zeit schließt das IPR Gebäude.,,"Institut für Operations Research (IOR), Bereich Diskrete Optimierung und Logistik,Institut für Operations Research (IOR), Bereich Kontinuierliche Optimierung,Produktentwicklung (IPEK), Institut für,Institut für Operations Research (IOR), Bereich Stochastische Modellierung und Optimierung,Fritz-Haller-Hörsaal (20.40)","Prozessrechentechnik, Automation und Robotik (IPR), Institut für",False
 Walschlichstiftes SICK Bibliothek,,"30.51,Mitfahrbank (Campus Süd): Bibliothek,Physik-Hörsaal Nr. 4 (30.22),Physik-Hörsaal Nr. 3 (30.22),Otto-Lehmann-Hörsaal (30.22)",Fachbibliothek Physik,False
 Wann schließt das Informatikom 1?,,"50.19 - InformatiKOM I,50.34,Bereich II - Informatik, Wirtschaft und Gesellschaft (CS),Bereich II - Informatik, Wirtschaft und Gesellschaft (CN),30.51",InformatiKOM 1,False
 Die Spät schliss der Informatikbau.,,"50.34,Fachschaft Informatik,Technische Informatik (ITEC), Institut für,Theoretische Informatik, Arbeitsgruppe Kryptographie und Sicherheit (IKS), Institut für,Theoretische Informatik (ITI), Institut für",Informatikbau,False
 Bis wann ist das Institut für angewandte Geobissenschaften heute geöffnet?,,"Angewandte Geowissenschaften, Institut für,Geophysikalisches Institut (GPI),Geodätisches Institut (GIK),Fachschaft Geowissenschaften,Geographie und Geoökologie, Institut für","Angewandte Geowissenschaften, Institut für",True
 Zu welcher Zeit schließt der Bereich vier das Instituts für Bio und Lebensmitteltechnik?,,"Bio- und Lebensmitteltechnik, Bereich IV: Molekulare Aufarbeitung von Bioprodukten , Institut für,Bio- und Lebensmitteltechnik, Institut für,Institut für Biologische und Chemische Systeme (IBCS),Bereich I - Biologie, Chemie und Verfahrenstechnik (Campus Nord),Bereich I – Biologie, Chemie und Verfahrenstechnik (Campus Süd)","Bio- und Lebensmitteltechnik, Bereich IV: Molekulare Aufarbeitung von Bioprodukten , Institut für",True
 Wie spät macht die Physik-Bibliothek zu?,,"Physik-Hörsaal Nr. 4 (30.22),Physik-Hörsaal Nr. 3 (30.22),30.22,Otto-Lehmann-Hörsaal (30.22),30.51",Fachbibliothek Physik,False
 Bis wann hat das Studium generale Fuchen heute geöffnet?,,"Studium Generale. Forum Wissenschaft und Gesellschaft (FORUM),Professur für Politische Ökonomie, Institut für Volkswirtschaftslehre (ECON),Geophysikalisches Institut (GPI),Professur für Finanzwissenschaft und Public Management, Institut für Volkswirtschaftslehre (ECON),Fachschaft Chemie und Biowissenschaften",Studium Generale. Forum Wissenschaft und Gesellschaft (FORUM),True
 Zu welcher Uhrzeit schließt der Informatikbau.,,"Fachschaft Informatik,50.34,Fachschaft Mathematik und Informatik,Technische Informatik (ITEC), Institut für,Theoretische Informatik (ITI), Institut für",Informatikbau,False
 Bis 1 hat Gebäude 403 heute auf.,,"403,401,333,577,Chemie-Hörsaal III (30.41)",403,True
 Bis zur welcher Uhrzeit ist das Kollegingebäudemaschinenbau 2 zuben.,,"20.21,20.20,10.22 - LAZ,11.40,10.23",Kollegiengebäude Maschinenbau II,False
 Das Wand hat Gebäude 152 heute aus.,,"152,Ferdinand-Redtenbacher-Hörsaal (10.91),30.34,40.33,40.28",152,True
 Bis zur welchen Zeitpunkt ist die Versuchsanstalt für Stahlholz und Steine zugänglich.,,"Versuchsanstalt für Stahl, Holz und Steine,Studienzentrum für Sehgeschädigte (SZS),Wolfgang-Gaede-Hörsaal (30.22),Zentrum für Angewandte Rechtswissenschaft (ZAR),Fördertechnik und Logistiksysteme, Institut für","Versuchsanstalt für Stahl, Holz und Steine",True
" Wann ist die Schließzeit des College? Nein, des Collegiengebäudes am Ehrenhof.",,"Soziologie, Medien- und Kulturwissenschaften (ISMK), Institut für ,Karlsruhe House of Young Scientists (KHYS),11.40,Schwerbehindertenvertretung (SBV) Campus Süd,B621",Kollegiengebäude am Ehrenhof,False
 Bis zu welcher Uhrzeit ist das alte Maschinenbaugebäude?,,"Angewandte Materialien - Werkstoffkunde (IAM-WK) Gebäude 10.91, Institut für,Mittlerer Hörsaal Maschinenbau (10.91),Franz-Grashof-Hörsaal (10.91),10.91,Maschinenbau, KIT-Fakultät für",Altes Maschinenbaugebäude,False
 Zu welchen Zeitpunkt schließt das Zering aus?,,"214,Zentrum für Angewandte Rechtswissenschaft (ZAR),Sprachenzentrum (Geb. 50.20),Zentrale Studienberatung (ZSB),Zentrum für Mediales Lernen (ZML)",Zähringerhaus,False
 Wann endet die Öffnungszeit von Gebäude 30.50?,,"30.50,30.90,30.93,Rudolf-Plank-Hörsaal (40.32),11.22",30.50,True
 Bis zu welcher Zeit ist das zoologische Institut geöffnet?,,"Zoologisches Institut,Biologische Grenzflächen (IBG), Institut für,Angewandte Biowissenschaften (IAB), Institut für,Biomedizinische Technik, Institut für,Fachschaft Chemie und Biowissenschaften",Zoologisches Institut,True
 Gibt mir die Internetadresse des Instituts für Technik der Informationsverarbeitung.,,"Technik der Informationsverarbeitung (ITIV), Institut für,Theoretische Informatik (ITI), Institut für,Prozessrechentechnik, Automation und Robotik (IPR), Institut für,Technische Informatik (ITEC), Institut für,Industrielle Informationstechnik, Institut für","Technik der Informationsverarbeitung (ITIV), Institut für",True
 Zeigt die Webadresse des Instituts für Sport und Sportwissenschaften?,,"Sport und Sportwissenschaft, Institut für,Fachschaft Sport,Institut für Arbeitswissenschaft und Betriebsorganisation (ifab),Institut für Biologische und Chemische Systeme (IBCS),Nachrichtentechnik , Institut für","Sport und Sportwissenschaft, Institut für",True
 Navigiert zur Website des Instituts für Technische Physik,,"Technische Physik, Institut für,Interfakultatives Institut für Anwendungen der Informatik,Physik-Hörsaal Nr. 4 (30.22),Physik-Hörsaal Nr. 3 (30.22),Experimentelle Teilchenphysik (ETP), Institut für","Technische Physik, Institut für",True
