original_query,fixed_query,retrieved_docs,expected_id,passed,time_taken
 Ist der Zugang zum Institut für Technische und Polier Chemie Barrierefrei?,EMPTY,"Technische Chemie und Polymerchemie, Institut für,11.23,11.21,Technische Chemie (ITC), Institut für,Engler-Bunte-Institut, Bereich I, Chemische Energieträger - Brennstofftechnologie (EBI-CEB)","Technische Chemie und Polymerchemie, Institut für",True,0.4940969944000244
 Können Sie mir bitte die Adresse von Gebäude 30-43 knennen.,30.43,"30.43,30.90,40.12,30.93,40.13",30.43,True,0.49015092849731445
 Können Sie mir die URL für Gebäude 308 nennen.,EMPTY,"308,315,333,11.22,20.40",308,True,0.5528390407562256
 An welcher Stelle büchendet sich Gebäude 239.,EMPTY,"239,228,227,243,250",239,True,0.48111581802368164
 Wo steht Gebäude 40.25?,40.25,"40.25,40.40,20.50,30.43,Rudolf-Plank-Hörsaal (40.32)",40.25,True,0.4459228515625
 In welcher Adresse finde ich das internationale Studiensoffes INTL?,EMPTY,"International Students Office (INTL),Internationales (INTL),International Scholars & Welcome Office (Campus Süd),International Scholars & Welcome Office (Campus Nord),Nanotechnologie (INT), Institut für",International Students Office (INTL),True,0.4569978713989258
 Was ist die Adresse von Gebäude 10.34?,10.34,"10.34,50.33,10.95,10.88,10.91",10.34,True,0.6097307205200195
" Oberfindet sich das Institut für Thermodynamische Informatik, die Arbeitsgruppe, Kriptografie und Sicherheit.",EMPTY,"Technische Thermodynamik, Institut für,Angewandte Thermofluidik (IATF), Institut für,Technische Thermodynamik und Kältetechnik, Institut für,Mess- und Regelungstechnik MRT, Institut für,Thermische Strömungsmaschinen, Institut für","Theoretische Informatik, Arbeitsgruppe Kryptographie und Sicherheit (IKS), Institut für",False,0.3536338806152344
 Wo hat die Fachschaft geistet und Sozialwissenschaften ihren Sitz?,EMPTY,"Fachschaft Geistes- und Sozialwissenschaften,Studienzentrum für Sehgeschädigte (SZS),Soziologie, Medien- und Kulturwissenschaften (ISMK), Institut für ,Fachschaft Chemie und Biowissenschaften,Professur für Finanzwissenschaft und Public Management, Institut für Volkswirtschaftslehre (ECON)",Fachschaft Geistes- und Sozialwissenschaften,True,0.46516871452331543
 Wo steht Gebäude 70.26?,70.26,"70.26,30.95,30.81,30.79,50.38",70.26,True,0.37199997901916504
 Wie ist die Lage von Gebäude 915?,915,"915,Hörsaal 101 (10.50),Angewandte Materialien - Werkstoffkunde (IAM-WK) Gebäude 10.91, Institut für,Mittlerer Hörsaal Maschinenbau (10.91),Bereich III - Maschinenbau und Elektrotechnik (CN)",915,True,0.1785740852355957
 Welcher Adress hat das Gebäude 736?,736,"736,01.85,Chemie-Hörsaal III (30.41),Chemie-Hörsaal II (30.41),Lernzentrum am Fasanenschlösschen (Geb. 30.28)",736,True,0.3854970932006836
 Wo befindet sich Gebäude 666?,666,"666,Chemie-Hörsaal II (30.41),Chemie-Hörsaal III (30.41),Lernzentrum am Fasanenschlösschen (Geb. 30.28),Pressestelle (STS)",666,True,0.3804662227630615
 An welcher Adresse finde ich die Gebäude 901?,EMPTY,"901,902,903,907,30.60",901,True,0.24402499198913574
 Können Sie die Lage von Gebäude 686 angeben?,686,"686,10.91,Lernzentrum am Fasanenschlösschen (Geb. 30.28),Mittlerer Hörsaal Maschinenbau (10.91),Pressestelle (STS)",686,True,0.4632389545440674
" Wie oder was ist hier Dresse von Gebäude 6, 6, 8?",668,"668,Architektur-Hörsaal 9 (20.40),Friedrich-Engesser-Hörsaal (10.81),Franz-Grashof-Hörsaal (10.91),Egon-Eiermann-Hörsaal (20.40)",668,True,0.30954694747924805
 Wo steht das Gebäude 741?,74.1,"741,Karlsruhe House of Young Scientists (KHYS),Bereich IV - Natürliche und gebaute Umwelt (CS),Franz-Grashof-Hörsaal (10.91),Schwerbehindertenvertretung (SBV) Campus Süd",741,True,0.4750630855560303
 Können Sie mir den Standort von Gebäude 726 mitteilen?,726,"726,10.91,Lernzentrum am Fasanenschlösschen (Geb. 30.28),Bereich IV - Natürliche und gebaute Umwelt (CS),Pressestelle (STS)",726,True,0.2864041328430176
 Das ist der Standort von Gebäude 800 und 3.,800  803,"803,Bereich IV - Natürliche und gebaute Umwelt (CS),Franz-Grashof-Hörsaal (10.91),Bauingenieure-Hörsaal (50.31),Chemie-Hörsaal III (30.41)",803,True,0.521888017654419
 Wo genau ist Gebäude 706 lokalisiert?,70.6,"706,11.22,10.91,Chemie-Hörsaal III (30.41),Chemie-Hörsaal II (30.41)",706,True,0.18239688873291016
" An welchem Standort steht, gibt es Gebäude 911?",EMPTY,"911,Audimax (30.95),11.22,KIT-Shuttle (Haltestelle Campus Nord, Südtor),Franz-Grashof-Hörsaal (10.91)",911,True,0.22771906852722168
 Was ist die Adresse von Energy Labs?,EMPTY,"Energy Lab,Laboratorium für Elektronenmikroskopie (LEM),Thermische Energietechnik und Sicherheit (ITES), Institut für,Angewandte Materialien - Energiespeichersysteme (IAM-ESS) , Institut für,KIT-Zentrum Energie",Energy Lab,True,0.10560107231140137
 Wann sind die Türen das Informatikbaus wieder offen?,EMPTY,"Technische Informatik (ITEC), Institut für,50.34,Anthropomatik und Robotik, Institut für,Fachschaft Informatik,Fachschaft Mathematik und Informatik",Informatikbau,False,0.10422492027282715
" Ablicher Uhrzeit ist Gebäude 20, 54 wieder geöffnet.",20.54,"20.54,30.90,11.22,Fritz-Haller-Hörsaal (20.40),30.91",20.54,True,0.2802870273590088
 Bandgebäude 10.11 wieder zugänglich,10.11,"Heinrich-Hertz-Hörsaal (10.11),10.11,11.40,10.23,Johann-Gottfried-Tulla-Hörsaal (11.40)",10.11,True,0.918644905090332
 Wann startet das Intro-Kaffee wieder seinen Betrieb?,EMPTY,"Institut für Wirtschaftsinformatik (WIN),01.12,01.13,Kantine (Campus Nord),Professur für Politische Ökonomie, Institut für Volkswirtschaftslehre (ECON)",intro Café,False,0.37311887741088867
 Wann wird Gebäude 10 45 wieder aufgeschlossen? Ich meinte 145.,10.45  145,"145,10.11,40.40,40.14,30.45",145,True,1.151414155960083
 Wann öffnet das Institut für Antropomatic und Robotik wieder seine Pforten?,EMPTY,"Anthropomatik und Robotik, Institut für,Elektrotechnisches Institut (ETI),Theoretische Elektrotechnik und Systemoptimierung (ITE), Institut für,Nanotechnologie (INT), Institut für,Automation und Angewandte Informatik (IAI), Institut für","Anthropomatik und Robotik, Institut für",True,0.5855610370635986
" Advanced Gebäude 532, wieder zugänglich.",532,"532,B402,Lernzentrum am Fasanenschlösschen (Geb. 30.28),Franz-Grashof-Hörsaal (10.91),Thermische Strömungsmaschinen, Institut für",532,True,0.29985690116882324
" Ab welchen Zeitpunkt ist das Gebäude Technik, Thermodynamik und Kälte Technik, Mess- und Regelungstechnik Instituts Gebäude wieder offen?",EMPTY,"Technische Thermodynamik und Kältetechnik, Institut für,Technische Thermodynamik, Institut für,Mess- und Regelungstechnik MRT, Institut für,Angewandte Thermofluidik (IATF), Institut für,Thermische Strömungsmaschinen, Institut für","Tech.Thermodyn.u.Kältetechn./ Mess-u.Regelungstechn., Institutsgeb.",False,0.5073273181915283
 Zu welcher Zeit erfund gebeute 304 wieder.,304,"304,311,343,333,404",304,True,3.1400442123413086
 Ab wann kann man das Gebäude starb und Strategie wieder betreten?,EMPTY,"Stab und Strategie (STS),Gottlieb-Daimler-Hörsaal (10.21),Wolfgang-Gaede-Hörsaal (30.22),Egon-Eiermann-Hörsaal (20.40),Architektur-Hörsaal 9 (20.40)",Stab und Strategie (STS),True,1.28249192237854
 Wann macht das Gastutz hinten aus? Wir hättest du doch mal heimrich herz wieder auf.,EMPTY,"Gottlieb-Daimler-Hörsaal (10.21),01.52,Chemie-Hörsaal III (30.41),Chemie-Hörsaal II (30.41),Rudolf-Criegee-Hörsaal (30.41)",Gastdozentenhaus Heinrich Hertz,False,0.4844033718109131
 Abwand ist Gebäude 546 wieder offen.,546,"546,20.52,Franz-Grashof-Hörsaal (10.91),10.84,Bereich IV - Natürliche und gebaute Umwelt (CS)",546,True,0.6318161487579346
 Zu welcher Zeit macht die Fachschaft Kunstgeschichte auf?,EMPTY,"Fachschaft Kunstgeschichte,Fachschaft WiWi,Fachschaft Architektur,Fachschaft Sport,Fachschaft Chemie und Biowissenschaften",Fachschaft Kunstgeschichte,True,0.46233606338500977
 Wann macht das Institutsgebäude Boden und Felsmechanik auch?,EMPTY,"40.25,40.23,40.22,Bodenmechanik und Felsmechanik (IBF) , Institut für,Mechanische Verfahrenstechnik und Mechanik (MVM), Institut für",Institutsgebäude Boden- und Felsmechanik,False,0.4540739059448242
" Ab wann ist das Gebäude 10, 50 dazu gänglich?",10  50,"10.50,30.90,30.93,50.33,30.91",10.50,True,0.46118998527526855
" Wann ist Gebäude 6,88 wieder zugänglich?",6.88,"10.91,11.22,Mittlerer Hörsaal Maschinenbau (10.91),Franz-Grashof-Hörsaal (10.91),20.52",688,False,0.6322581768035889
 An welchen Zeitpunkt ist 10.32 geöffnet?,10.32,"10.32,30.23,30.82,30.24,Gottlieb-Daimler-Hörsaal (10.21)",10.32,True,0.584636926651001
 Zu welcher Zeit öffnet das Max-Rubener-Institut?,EMPTY,"07.30,07.31,Bio- und Lebensmitteltechnik, Institut für,Angewandte Materialien - Werkstoff- und Grenzflächenmechanik (IAM-MMI), Institut für,Zentrale Studienberatung (ZSB)",Max Rubner-Institut,False,0.46091485023498535
 Man macht Chemiturm 1 auf.,EMPTY,"30.43,Chemie-Hörsaal II (30.41),Chemie-Hörsaal III (30.41),Chemie-Hörsaal I (30.41),Neuer Hörsaal Chemie (30.46)",Chemie-Turm I,False,0.5451657772064209
 Wiegt Beschreibung zu Gebäude 230.,230,"230,234,30.24,30.23,11.22",239,False,0.6345832347869873
 Den Weg zu Gebäude 650 anzeigen.,650,"650,11.22,30.80,Werkfeuerwehr,Angewandte Materialien - Werkstoffkunde (IAM-WK) Gebäude 10.91, Institut für",650,True,0.6863651275634766
 Zeige die Route zu Dr. Franz Lust Gebäude.,EMPTY,"50.25,B252,123,Fritz-Haller-Hörsaal (20.40),Kantine (Campus Nord)",Dr. Franz Lust,False,0.5003910064697266
 Wegbeschreibung zum Gebäude 40.13,40.13,"40.13,Egon-Eiermann-Hörsaal (20.40),11.22,Architektur-Hörsaal 9 (20.40),40.11",40.13,True,0.189162015914917
 Navigations- und Institut für Theoretische Festgapfer für Sieg-Bitter,EMPTY,"Theoretische Festkörperphysik, Institut für,Festkörperphysik, Institut für,Versuchsanstalt für Stahl, Holz und Steine,Technische Thermodynamik, Institut für,Theoretische Elektrotechnik und Systemoptimierung (ITE), Institut für","Theoretische Festkörperphysik, Institut für",True,0.2245030403137207
 Zeige den Weg zum Gebäude B621.,B62.1,"B621,B131,Gottlieb-Daimler-Hörsaal (10.21),Werkfeuerwehr,459",B621,True,0.36227893829345703
 Navigation zum Elektrotechnischen Institut bitte,EMPTY,"Fachschaft Elektro- und Informationstechnik,Elektrotechnisches Institut (ETI),Elektroenergiesysteme und Hochspannungstechnik , Institut für,Kleiner Hörsaal Elektrotechnik (11.10),Engler-Bunte-Institut Bereich Verbrennungstechnik (EBI-VBT)",Elektrotechnisches Institut,False,0.2271590232849121
 Rote zu Gebäude 508 anzeigen.,50.8,"508,30.90,B404,920,935",508,True,0.37757086753845215
 Wegbeschreibung zum Informatikom 1,1,"50.19 - InformatiKOM I,50.34,Bereich II - Informatik, Wirtschaft und Gesellschaft (CN),Bereich II - Informatik, Wirtschaft und Gesellschaft (CS),Theoretische Informatik (ITI), Institut für",InformatiKOM 1,False,0.4706690311431885
 Den Weg zu Gebäude 908 anzeigen.,908,"908,Werkfeuerwehr,Rechtsangelegenheiten (RECHT),Fritz-Haller-Hörsaal (20.40),Mittlerer Hörsaal Maschinenbau (10.91)",908,True,0.28734517097473145
" Die Route zu Gebäude 30, 60 ist gesucht.",30  60,"30.91,Rudolf-Plank-Hörsaal (40.32),315,11.22,Lernzentrum am Fasanenschlösschen (Geb. 30.28)",30.60,False,1.3320801258087158
 Navigations- und Telekooperation auf es benötigt.,EMPTY,"Telecooperation Office (TecO),Technik-Haus,11.22,40.28,Prozessdatenverarbeitung und Elektronik (IPE), Institut für",Telecooperation Office (TecO),True,1.2926430702209473
 Wegbeschreibung zu Gebäude 9.600 und 7 mehr wünscht.,9.600  7,"11.22,20.52,30.42,Chemie-Hörsaal III (30.41),Werkfeuerwehr",9607,False,0.35856103897094727
 Ich suche den Weg zum Kool-Ligiengebäude am Zirkel.,EMPTY,"20.21,20.20,Scientific Computing Center (SCC), CS,Telematik (ITM), Institut für,30.82",Kollegiengebäude am Zirkel,False,0.1311657428741455
 Zum MTI-Hörsal navigieren. Bitte.,EMPTY,"Messtechnik-Hörsaal (30.33),30.33,30.31,Biomedizinische Technik, Institut für,Theoretische Elektrotechnik und Systemoptimierung (ITE), Institut für",MTI-Hörsaal,False,0.22711777687072754
 Navigation zum Rudolf Kriegehörsel gewünscht.,EMPTY,"Rudolf-Plank-Hörsaal (40.32),Rudolf-Criegee-Hörsaal (30.41),Zentrale Studienberatung (ZSB),Gottlieb-Daimler-Hörsaal (10.21),121",Rudolf-Criegee-Hörsaal,False,0.11039280891418457
 Route zur Wirtschaftsdissenschaftlichen Fakulteitsbibiotek,EMPTY,"09.21,Institut für Operations Research (IOR), Bereich Stochastische Modellierung und Optimierung,Professur für Ökonometrie, Institut für Volkswirtschaftslehre (ECON),Professur für Makroökonomik, Institut für Volkswirtschaftslehre (ECON),Fachbibliothek WIWI",Wirtschaftswissenschaftliche Fakultätsbibliothek,False,0.39492011070251465
 Weg zur Versuchshade der technischen Tablenamik zeigen.,EMPTY,"Experimentelle Teilchenphysik (ETP), Institut für,Technische Thermodynamik, Institut für,Laboratorium für Elektronenmikroskopie (LEM),Interfakultatives Institut für Anwendungen der Informatik,Theorie der Kondensierten Materie, Institut für","Technische Thermodynamik und Kältetechnik, Versuchshalle",False,0.4888131618499756
 Kann man aktuell in die Fachschaft geist soz?,EMPTY,"Fachschaft Geistes- und Sozialwissenschaften,Fachschaft Sport,Fachschaft Chemie und Biowissenschaften,Fachschaft WiWi,Professur für Industrieökonomik, Institut für Volkswirtschaftslehre (ECON)",Fachschaft GeistSoz,False,0.45241498947143555
" Ist das Gebäude 50, 40 momentan offen?",50.40,"50.40,30.90,30.93,30.96,40.11",50.40,True,0.43723225593566895
 Kann man derzeit ins Gebäude 300 ziehen?,300  310,"3300,300,310",310,True,0.644874095916748
 Die Ambulanzmomentan zugänglich.,EMPTY,"Medizinische Dienste (MED) CN,131,124,30.90,01.85",Ambulanz,False,0.39360785484313965
 Ist das Gebäude 310 derzeit offen?,310,"310,315,311,408,11.22",310,True,0.6396951675415039
 Kann man gerade in Gebäude 5.20 rein.,5.20,"05.20,10.91,11.22,30.21,Kleiner Hörsaal Bauingenieure (10.50)",05.20,True,0.5378422737121582
 Ist die Versuchsanstalt das Köhleräuterinstituts derzeit geöffnet?,EMPTY,"Versuchsanstalt für Stahl, Holz und Steine,30.33,30.31,Entrepreneurship, Technologie-Management und Innovation (EnTechnon), Institut für,20.44",Versuchsanstalt des Joseph Gottlieb Kölreuter Instituts für Pflanzenwissenschaften,False,0.4599182605743408
 Kann man jetzt ins Gebäude 50.34?,50.34,"50.34,50.40,30.90,30.95,30.93",50.34,True,0.4498310089111328
 Hat die KITB-Bilute gerade auf?,EMPTY,"30.51,30.82,310,303,Engler-Bunte-Hörsaal (40.50)",KIT-Bibliothek,False,0.1970529556274414
 Es ist Gebäude 413 momentan zugänglich.,413,"413,608,606,614,686",413,True,0.3033308982849121
 Kann man aktuell ins Institut führen für Neutronen für SICK und Reaktortechnik?,EMPTY,"Neutronenphysik und Reaktortechnik, Institut für,Photonenforschung und Synchrotronstrahlung (IPS), Institut für,Photonik und Quantenelektronik (IPQ), Institut für,Elektroenergiesysteme und Hochspannungstechnik , Institut für,Technische Thermodynamik, Institut für","Neutronenphysik und Reaktortechnik, Institut für",True,0.20234918594360352
 Hat Gebäude 416 zu Zeit auf.,416,"416,Chemie-Hörsaal III (30.41),30.42,Chemie-Hörsaal II (30.41),Mittlerer Hörsaal Maschinenbau (10.91)",416,True,0.40297889709472656
 Ist das Institut für Wasser und Gewässerentwicklung? Wasserwirtschaft und Kulturtechnik momentan zugänglich?,EMPTY,"10.83,Wasser und Umwelt (IWU), Institut für,Volkswirtschaftslehre, Institut für,Institut für Wirtschaftsinformatik (WIN),Finanzwirtschaft, Banken und Versicherungen (FBV), Institut für",Institut für Wasser und Gewässerentwicklung - Bereich Wasserwirtschaft und Kulturtechnik,False,0.22626876831054688
 Kann man gerade ins Gebäude 4019 40.19,40.19,"40.19,401,575,401 A,Egon-Eiermann-Hörsaal (20.40)",40.19,True,0.4054288864135742
 Hat das Lernzentrum am Versamen schlöst ihr in derzeit geöffnet?,EMPTY,"30.28,Lernzentrum am Fasanenschlösschen (Geb. 30.28),30.34,B131,08.03",Lernzentrum am Fasanenschlösschen,False,0.19970989227294922
 Ist 220° offen?,EMPTY,"220,10.84,Angewandte Thermofluidik (IATF), Institut für,Evaluationsstelle (STS-QM),KIT-Zentrum für Klima und Umwelt",223,False,0.21832919120788574
 hat 40.29° auf,EMPTY,"40.29,40.40,30.79,Rudolf-Plank-Hörsaal (40.32),30.43",40.29,True,0.25240397453308105
 Hat das Kolleginnen Gebäude am Zierke gerade geöffnet?,EMPTY,"20.20,20.21,Johann-Gottfried-Tulla-Hörsaal (11.40),Wirtschaftswissenschaften, KIT-Fakultät für,Egon-Eiermann-Hörsaal (20.40)",Kollegiengebäude am Zirkel,False,0.12035298347473145
 Kann man aktuell in Gebäude 404 rein.,404,"B404,404,403,580,10.91",404,True,0.4109687805175781
 Kann man momentan ins ESL-Institut?,EMPTY,"Angewandte Materialien - Energiespeichersysteme (IAM-ESS) , Institut für,Soziologie, Medien- und Kulturwissenschaften (ISMK), Institut für ,Elektrotechnisches Institut (ETI),Mikrostrukturtechnik (IMT), Institut für,Mikroverfahrenstechnik (IMVT) , Institut für","Entwerfen von Stadt und Landschaft (IESL), Institut",False,0.12087512016296387
 Bis zu welcher Uzzat ist gebeute 0 1.9 0 zu gönntig.,01.90,"01.96,01.94,01.93,01.92,01.90",01.90,True,0.4995551109313965
 Zu welcher Zeit schließt das IPR Gebäude.,EMPTY,"Institut für Operations Research (IOR), Bereich Diskrete Optimierung und Logistik,Institut für Operations Research (IOR), Bereich Kontinuierliche Optimierung,Produktentwicklung (IPEK), Institut für,Institut für Operations Research (IOR), Bereich Stochastische Modellierung und Optimierung,Fritz-Haller-Hörsaal (20.40)","Prozessrechentechnik, Automation und Robotik (IPR), Institut für",False,0.1595897674560547
 Walschlichstiftes SICK Bibliothek,EMPTY,"30.51,Mitfahrbank (Campus Süd): Bibliothek,Physik-Hörsaal Nr. 4 (30.22),Physik-Hörsaal Nr. 3 (30.22),Otto-Lehmann-Hörsaal (30.22)",Fachbibliothek Physik,False,0.13128995895385742
 Wann schließt das Informatikom 1?,EMPTY,"50.19 - InformatiKOM I,50.34,Bereich II - Informatik, Wirtschaft und Gesellschaft (CS),Bereich II - Informatik, Wirtschaft und Gesellschaft (CN),30.51",InformatiKOM 1,False,0.23058509826660156
 Die Spät schliss der Informatikbau.,EMPTY,"50.34,Fachschaft Informatik,Technische Informatik (ITEC), Institut für,Theoretische Informatik, Arbeitsgruppe Kryptographie und Sicherheit (IKS), Institut für,Theoretische Informatik (ITI), Institut für",Informatikbau,False,0.13686776161193848
 Bis wann ist das Institut für angewandte Geobissenschaften heute geöffnet?,EMPTY,"Angewandte Geowissenschaften, Institut für,Geophysikalisches Institut (GPI),Geodätisches Institut (GIK),Fachschaft Geowissenschaften,Geographie und Geoökologie, Institut für","Angewandte Geowissenschaften, Institut für",True,0.11943912506103516
 Zu welcher Zeit schließt der Bereich vier das Instituts für Bio und Lebensmitteltechnik?,EMPTY,"Bio- und Lebensmitteltechnik, Bereich IV: Molekulare Aufarbeitung von Bioprodukten , Institut für,Bio- und Lebensmitteltechnik, Institut für,Institut für Biologische und Chemische Systeme (IBCS),Bereich I - Biologie, Chemie und Verfahrenstechnik (Campus Nord),Bereich I – Biologie, Chemie und Verfahrenstechnik (Campus Süd)","Bio- und Lebensmitteltechnik, Bereich IV: Molekulare Aufarbeitung von Bioprodukten , Institut für",True,0.21536779403686523
 Wie spät macht die Physik-Bibliothek zu?,EMPTY,"Physik-Hörsaal Nr. 4 (30.22),Physik-Hörsaal Nr. 3 (30.22),30.22,Otto-Lehmann-Hörsaal (30.22),30.51",Fachbibliothek Physik,False,0.11660194396972656
 Bis wann hat das Studium generale Fuchen heute geöffnet?,EMPTY,"Studium Generale. Forum Wissenschaft und Gesellschaft (FORUM),Professur für Politische Ökonomie, Institut für Volkswirtschaftslehre (ECON),Geophysikalisches Institut (GPI),Professur für Finanzwissenschaft und Public Management, Institut für Volkswirtschaftslehre (ECON),Fachschaft Chemie und Biowissenschaften",Studium Generale. Forum Wissenschaft und Gesellschaft (FORUM),True,0.1179349422454834
 Zu welcher Uhrzeit schließt der Informatikbau.,EMPTY,"Fachschaft Informatik,50.34,Fachschaft Mathematik und Informatik,Technische Informatik (ITEC), Institut für,Theoretische Informatik (ITI), Institut für",Informatikbau,False,0.2002723217010498
 Bis 1 hat Gebäude 403 heute auf.,403,"403,401,333,577,Chemie-Hörsaal III (30.41)",403,True,0.280322790145874
 Bis zur welcher Uhrzeit ist das Kollegingebäudemaschinenbau 2 zuben.,2,"20.21,20.20,10.22 - LAZ,11.40,10.23",Kollegiengebäude Maschinenbau II,False,0.17616915702819824
