original_query,fixed_query,retrieved_docs,expected_id,passed
 Können Sie mir den Weg zu Gebäude 309 ansech zeigen?,Können Sie mir den Weg zu Gebäude 309 neun zeigen?,"309,Technikzukünfte - Geschichte, Institut für,Wolfgang-Gaede-Hörsaal (30.22),Informationsmanagement im Ingenieurwesen (IMI) , Institut für,11.40",329,False
 In welchen Bereich finde ich den Gewollde komplex 10.84., In welchen Bereich finde ich den Gewollde komplex 10.84.,"10.84,Bereich III - Maschinenbau und Elektrotechnik (CS),30.24,Bereich III - Maschinenbau und Elektrotechnik (CN),Bereich V - Physik und Mathematik (CS)",10.84,True
 Können Sie mir den besten Weg zum KIT-Schatten am Campus-Os zeigen?,Können Sie mir den besten Weg zum KIT-Schatten am Campus-Os zeigen?,"30.51,Wirtschaftswissenschaften, KIT-Fakultät für,Schwerbehindertenvertretung (SBV) Campus Süd,Maschinenbau, KIT-Fakultät für,KIT-Archiv",KIT-Shuttle (Haltestelle Campus Ost),False
 Ist der Zugang zum Institut für Technische und Polier Chemie Barrierefrei?,Ist der Zugang zum Institut für Technische und Physikalisch Chemie Barrierefrei?,"11.21,11.23,Technische Chemie und Polymerchemie, Institut für,Fachschaft Chemie und Biowissenschaften,Bereich I – Biologie, Chemie und Verfahrenstechnik (Campus Süd)","Technische Chemie und Polymerchemie, Institut für",True
 Können Sie mir bitte die Adresse von Gebäude 30-43 knennen.,Können Sie mir bitte die Adresse von Gebäude 30.43 knennen.,"30.43,30.93,40.11,30.90,30.80",30.43,True
 Können Sie mir die URL für Gebäude 308 nennen.,Können Sie mir die URL für Gebäude 308 nennen.,"308,Lernzentrum am Fasanenschlösschen (Geb. 30.28),11.40,11.22,Gottlieb-Daimler-Hörsaal (10.21)",308,True
 An welcher Stelle büchendet sich Gebäude 239.,An welcher Stelle bündet sich Gebäude 239..,"239,Engler-Bunte-Hörsaal (40.50),Rudolf-Criegee-Hörsaal (30.41),Versuchsanstalt für Stahl, Holz und Steine,Chemie-Hörsaal III (30.41)",239,True
 Wo steht Gebäude 40.25?,Wo steht Gebäude 40.25?,"40.25,Rudolf-Plank-Hörsaal (40.32),20.53,30.43,11.22",40.25,True
 In welcher Adresse finde ich das internationale Studiensoffes INTL?,"In welcher Adresse finde ich das Internationales Studiensoffice INTL ist wahrscheinlich ein Akronym, aber ohne Kontext kann ich es nicht korrigieren. Es könnte auch 'International' bedeuten.?","Industriebetriebslehre und Industrielle Produktion (IIP), Institut für,Angewandte Materialien - Werkstoff- und Grenzflächenmechanik (IAM-MMI), Institut für,02.95,Institut für Operations Research (IOR), Bereich Stochastische Modellierung und Optimierung,Technikzukünfte, Institut für ",International Students Office (INTL),False
 Was ist die Adresse von Gebäude 10.34?,Was ist die Adresse von Gebäude 10.34?,"10.34,10.95,10.70,10.91,30.43",10.34,True
" Oberfindet sich das Institut für Thermodynamische Informatik, die Arbeitsgruppe, Kriptografie und Sicherheit.","Obenfindet sich das Institut für Thermodynamische Informatik, die Arbeitsgruppe, Kriptografie und Sicherheit.","Industrielle Informationstechnik, Institut für,Mess- und Regelungstechnik MRT, Institut für,Technische Thermodynamik und Kältetechnik, Institut für,Joseph Gottlieb Kölreuter Institut für Pflanzenwissenschaften (JKIP),Thermische Energietechnik und Sicherheit (ITES), Institut für","Theoretische Informatik, Arbeitsgruppe Kryptographie und Sicherheit (IKS), Institut für",False
 Wo hat die Fachschaft geistet und Sozialwissenschaften ihren Sitz?,Wo hat die Fachschaft geistet und Sozialwissenschaften ihren Sitz?,"Fachschaft Geistes- und Sozialwissenschaften,Studienzentrum für Sehgeschädigte (SZS),Soziologie, Medien- und Kulturwissenschaften (ISMK), Institut für ,Technikzukünfte - Philosophie, Institut für,Fachschaft Chemie und Biowissenschaften",Fachschaft Geistes- und Sozialwissenschaften,True
 Wo steht Gebäude 70.26?,Wo steht Gebäude 70.26?,"70.26,30.79,10.91,30.95,20.52",70.26,True
 Wie ist die Lage von Gebäude 915?,Wie ist die Lage von Gebäude 91.5?,"915,Hörsaal 101 (10.50),11.22,Chemie-Hörsaal III (30.41),10.22 - LAZ",915,True
 Welcher Adress hat das Gebäude 736?,Welcher Adress hat das Gebäude 0736?,"736,01.85,30.43,Chemie-Hörsaal III (30.41),Chemie-Hörsaal II (30.41)",736,True
 Wo befindet sich Gebäude 666?,Wo befindet sich Gebäude 666?,"666,Chemie-Hörsaal III (30.41),Chemie-Hörsaal II (30.41),Lernzentrum am Fasanenschlösschen (Geb. 30.28),Pressestelle (STS)",666,True
 An welcher Adresse finde ich die Gebäude 901?,An welcher Adresse finde ich die Gebäude 901?,"901,09.22,40.40,Hörsaal 101 (10.50),902",901,True
 Können Sie die Lage von Gebäude 686 angeben?,Können Sie die Lage von Gebäude 686.0 angeben?,"686,11.22,10.91,Fritz-Haller-Hörsaal (20.40),20.52",686,True
" Wie oder was ist hier Dresse von Gebäude 6, 6, 8?",Wie oder was ist hier Adresse von Gebäude 668?,"668,10.92,Wolfgang-Gaede-Hörsaal (30.22),Chemie-Hörsaal III (30.41),Chemie-Hörsaal II (30.41)",668,True
 Wo steht das Gebäude 741?,Wo steht das Gebäude 74.1?,"741,11.22,Kleiner Hörsaal Bauingenieure (10.50),Fritz-Haller-Hörsaal (20.40),Bereich IV - Natürliche und gebaute Umwelt (CS)",741,True
 Können Sie mir den Standort von Gebäude 726 mitteilen?,Können Sie mir den Standort von Gebäude 72.6 mitteilen?,"726,Wolfgang-Gaede-Hörsaal (30.22),Bereich III - Maschinenbau und Elektrotechnik (CS),Messtechnik-Hörsaal (30.33),Bereich III - Maschinenbau und Elektrotechnik (CN)",726,True
 Das ist der Standort von Gebäude 800 und 3.,Das ist der Standort von Gebäude 803.,"Chemie-Hörsaal III (30.41),Fritz-Haller-Hörsaal (20.40),01.52,Fördertechnik und Logistiksysteme, Institut für,Bauingenieure-Hörsaal (50.31)",803,False
 Wo genau ist Gebäude 706 lokalisiert?,Wo genau ist Gebäude 706.0 lokalisiert?,"706,10.91,11.22,50.31,30.42",706,True
" An welchem Standort steht, gibt es Gebäude 911?","An welchem Standort steht, gibt es Gebäude 911.?","911,Franz-Grashof-Hörsaal (10.91),11.22,KIT-Shuttle (Haltestelle Campus Nord, Südtor),Versuchsanstalt für Stahl, Holz und Steine",911,True
 Was ist die Adresse von Energy Labs?,Was ist die Adresse von Energy Labs?,"Energy Lab,KIT-Zentrum Energie,Thermische Verfahrenstechnik, Institut für,Technische Thermodynamik, Institut für,Organische Chemie, Institut für",Energy Lab,True
 Wann sind die Türen das Informatikbaus wieder offen?,Wann sind die Türen des Informatikbaus wieder offen?,"Fachschaft Geodäsie und Geoinformatik,Technikzukünfte - Geschichte, Institut für,Fachschaft Mathematik und Informatik,Fachschaft Informatik,Anthropomatik und Robotik, Institut für",Informatikbau,False
" Ablicher Uhrzeit ist Gebäude 20, 54 wieder geöffnet.",Ab 12 Uhr ist Gebäude 20.54 wieder geöffnet.,"20.54,40.11,20.44,Fritz-Haller-Hörsaal (20.40),Engler-Bunte-Hörsaal (40.50)",20.54,True
 Bandgebäude 10.11 wieder zugänglich,Gebäude 10.11 wieder zugänglich,"Heinrich-Hertz-Hörsaal (10.11),10.11,11.22,11.40,Franz-Grashof-Hörsaal (10.91)",10.11,True
 Wann startet das Intro-Kaffee wieder seinen Betrieb?,Wann startet das Intro-Kaffee wieder seinen Betrieb?,"01.12,01.13,30.82,Kantine (Campus Nord),Chemie-Hörsaal I (30.41)",intro Café,False
 Wann wird Gebäude 10 45 wieder aufgeschlossen? Ich meinte 145.,Wann wird Gebäude 145 wieder aufgeschlossen? Ich meinte 145.,"145,30.45,40.40,10.91,10.94",145,True
 Wann öffnet das Institut für Antropomatic und Robotik wieder seine Pforten?,Wann öffnet das Institut für Anthropomatik und Robotik wieder seine Pforten?,"Bio- und Lebensmitteltechnik, Bereich IV: Molekulare Aufarbeitung von Bioprodukten , Institut für,Entrepreneurship, Technologie-Management und Innovation (EnTechnon), Institut für,Versuchsanstalt des Joseph Gottlieb Kölreuter Instituts für Pflanzenwissenschaften,Technologie und Management im Baubetrieb (TMB) , Institut für,Theoretische Elektrotechnik und Systemoptimierung (ITE), Institut für","Anthropomatik und Robotik, Institut für",False
" Advanced Gebäude 532, wieder zugänglich.","Advanced Gebäude 532, wieder zugänglich.","532,Lernzentrum am Fasanenschlösschen (Geb. 30.28),Franz-Grashof-Hörsaal (10.91),Angewandte Thermofluidik (IATF), Institut für,Zentrum für Angewandte Rechtswissenschaft (ZAR)",532,True
" Ab welchen Zeitpunkt ist das Gebäude Technik, Thermodynamik und Kälte Technik, Mess- und Regelungstechnik Instituts Gebäude wieder offen?","Ab welchen Zeitpunkt ist das Gebäude Technik, Thermodynamik und Kältetechnik, Mess- und Regelungstechnik-Institut Gebäude wieder offen?","Technische Thermodynamik und Kältetechnik, Institut für,Mess- und Regelungstechnik MRT, Institut für,Theoretische Physik (TP), Institut für,Theoretische Teilchenphysik (TTP), Institut für,Engler-Bunte-Institut, Bereich I, Chemische Energieträger - Brennstofftechnologie (EBI-CEB)","Tech.Thermodyn.u.Kältetechn./ Mess-u.Regelungstechn., Institutsgeb.",False
 Zu welcher Zeit erfund gebeute 304 wieder.,Zu welcher Zeit eröffnet gebeute 30.04 wieder.,"304,311,315,403,401",304,True
 Ab wann kann man das Gebäude starb und Strategie wieder betreten?, Ab wann kann man das Gebäude starb und Strategie wieder betreten?,"Gottlieb-Daimler-Hörsaal (10.21),Architektur-Hörsaal 9 (20.40),Wolfgang-Gaede-Hörsaal (30.22),Versuchsanstalt für Stahl, Holz und Steine,Institut für Arbeitswissenschaft und Betriebsorganisation (ifab)",Stab und Strategie (STS),False
 Wann macht das Gastutz hinten aus? Wir hättest du doch mal heimrich herz wieder auf., Wann macht das Gastutz hinten aus? Wir hättest du doch mal heimrich herz wieder auf.,"Fachschaft Chemie und Biowissenschaften,Chemische Verfahrenstechnik (CVT), Institut für,Germanistik: Literatur, Sprache, Medien (GER), Institut für,Physikalische Chemie, Institut für,Joseph Gottlieb Kölreuter Institut für Pflanzenwissenschaften (JKIP)",Gastdozentenhaus Heinrich Hertz,False
 Abwand ist Gebäude 546 wieder offen.,Abwasser ist Gebäude 546 wieder offen.,"546,30.42,Chemie-Hörsaal II (30.41),Franz-Grashof-Hörsaal (10.91),Bereich IV - Natürliche und gebaute Umwelt (CS)",546,True
 Zu welcher Zeit macht die Fachschaft Kunstgeschichte auf?,Zu welcher Zeit macht die Fachschaft Kunstgeschichte auf?,"Fachschaft WiWi,Fachschaft Sport,Fachschaft Kunstgeschichte,Fachschaft Chemie und Biowissenschaften,Fachschaft Informatik",Fachschaft Kunstgeschichte,True
 Wann macht das Institutsgebäude Boden und Felsmechanik auch?,Wann macht das Institutsgebäude Boden und Felsmechanik auch?,"40.22,40.23,40.25,Elektroenergiesysteme und Hochspannungstechnik , Institut für,Mechanik, Institut für",Institutsgebäude Boden- und Felsmechanik,False
" Ab wann ist das Gebäude 10, 50 dazu gänglich?",Ab wann ist das Gebäude 10.50 dazu gänglich?,"Großer Hörsaal Bauingenieure (10.50),10.50,Kleiner Hörsaal Bauingenieure (10.50),Hörsaal 101 (10.50),Hörsaal 102 (10.50)",10.50,True
" Wann ist Gebäude 6,88 wieder zugänglich?",Wann ist Gebäude 6.88 wieder zugänglich?,"10.91,50.31,11.22,20.52,Bereich IV - Natürliche und gebaute Umwelt (CS)",688,False
 An welchen Zeitpunkt ist 10.32 geöffnet?,An welchen Zeitpunkt ist 10:32 geöffnet?,"10.32,30.24,30.82,30.49,30.43",10.32,True
 Zu welcher Zeit öffnet das Max-Rubener-Institut?,Zu welcher Zeit öffnet das Max-Rubener-Institut?,"07.30,Messtechnik-Hörsaal (30.33),07.31,Institut für Operations Research (IOR), Bereich Kontinuierliche Optimierung,Zentrale Studienberatung (ZSB)",Max Rubner-Institut,False
 Man macht Chemiturm 1 auf.,Man macht Chemieturm 1 auf.,"30.43,Chemie-Hörsaal II (30.41),30.42,Chemie-Hörsaal III (30.41),Chemische Verfahrenstechnik (CVT), Institut für",Chemie-Turm I,False
 Wiegt Beschreibung zu Gebäude 230., Wiegt Beschreibung zu Gebäude 230.,"230,11.22,30.24,30.23,459",239,False
 Den Weg zu Gebäude 650 anzeigen.,Den Weg zu Gebäude 650 anzeigen,"650,Werkfeuerwehr,11.22,Bereich III - Maschinenbau und Elektrotechnik (CN),459",650,True
 Zeige die Route zu Dr. Franz Lust Gebäude.,Zeige die Route zu Dr. Franz Lust Gebäude.,"Zentrale Studienberatung (ZSB),Germanistik: Literatur, Sprache, Medien (GER), Institut für,Professur für Politische Ökonomie, Institut für Volkswirtschaftslehre (ECON),Joseph Gottlieb Kölreuter Institut für Pflanzenwissenschaften (JKIP),Deutsch-Französisches Institut für Umweltforschung (DFIU)",Dr. Franz Lust,False
 Wegbeschreibung zum Gebäude 40.13,Wegbeschreibung zum Gebäude 40.13,"40.13,11.22,40.11,Fritz-Haller-Hörsaal (20.40),Chemie-Hörsaal III (30.41)",40.13,True
 Navigations- und Institut für Theoretische Festgapfer für Sieg-Bitter, Navigations- und Institut für Theoretische Festgapfer für Sieg-Bitter,"Wasser und Umwelt (IWU), Institut für,Institut für Operations Research (IOR), Bereich Diskrete Optimierung und Logistik,Mess- und Regelungstechnik MRT, Institut für,Institut für Operations Research (IOR), Bereich Kontinuierliche Optimierung,Theoretische Elektrotechnik und Systemoptimierung (ITE), Institut für","Theoretische Festkörperphysik, Institut für",False
 Zeige den Weg zum Gebäude B621.,Zeige den Weg zum Gebäude B6.21.,"B621,Werkfeuerwehr,Versuchsanstalt für Stahl, Holz und Steine,Fritz-Haller-Hörsaal (20.40),Entwerfen und Bautechnik, Institut",B621,True
 Navigation zum Elektrotechnischen Institut bitte, Navigation zum Elektrotechnischen Institut bitte,"Engelbert-Arnold-Hörsaal (11.10),Elektrotechnisches Institut (ETI),Kleiner Hörsaal Elektrotechnik (11.10),Fachschaft Elektro- und Informationstechnik,Elektroenergiesysteme und Hochspannungstechnik , Institut für",Elektrotechnisches Institut,False
 Rote zu Gebäude 508 anzeigen.,Rote zu Gebäude 50.08 anzeigen.,"508,30.90,Bereich IV - Natürliche und gebaute Umwelt (CN),Bereich IV - Natürliche und gebaute Umwelt (CS),Fachschaft Chemie und Biowissenschaften",508,True
 Wegbeschreibung zum Informatikom 1,Wegbeschreibung zum Informatikom 1,"50.19 - InformatiKOM I,Hörsaal 101 (10.50),50.34,Bereich II - Informatik, Wirtschaft und Gesellschaft (CN),Egon-Eiermann-Hörsaal (20.40)",InformatiKOM 1,False
 Den Weg zu Gebäude 908 anzeigen.,Den Weg zu Gebäude 90.8 anzeigen,"908,30.90,Rechtsangelegenheiten (RECHT),30.24,11.22",908,True
" Die Route zu Gebäude 30, 60 ist gesucht.",Die Route zu Gebäude 30.60 ist gesucht.,"30.60,Lernzentrum am Fasanenschlösschen (Geb. 30.28),Photogrammetrie und Fernerkundung (IPF), Institut für,315,30.91",30.60,True
 Navigations- und Telekooperation auf es benötigt.,Navigations- und Telekooperation auf es benötigt.,"01.99,Telecooperation Office (TecO),11.22,08.03,Prozessdatenverarbeitung und Elektronik (IPE), Institut für",Telecooperation Office (TecO),True
 Wegbeschreibung zu Gebäude 9.600 und 7 mehr wünscht.,Wegbeschreibung zu Gebäude 9607 wünscht,"30.42,11.22,20.52,Fachschaft Geistes- und Sozialwissenschaften,Fritz-Haller-Hörsaal (20.40)",9607,False
 Ich suche den Weg zum Kool-Ligiengebäude am Zirkel.,Ich suche den Weg zum Kool-Ligien-Gebäude am Zirkel,"10.84,Scientific Computing Center (SCC), CS,20.20,20.21,10.31",Kollegiengebäude am Zirkel,False
 Zum MTI-Hörsal navigieren. Bitte.,Zum MTI-Hörsal navigieren. Bitte.,"Theoretische Elektrotechnik und Systemoptimierung (ITE), Institut für,Biomedizinische Technik, Institut für,Versuchsanstalt für Stahl, Holz und Steine,Mittlerer Hörsaal Maschinenbau (10.91),Chemie-Hörsaal I (30.41)",MTI-Hörsaal,False
 Navigation zum Rudolf Kriegehörsel gewünscht.,Navigation zum Rudolf Kriegehörsel gewünscht,"Hochschulsport,10.96,KIT-Shuttle (Haltestelle Campus Nord, Südtor),Versuchsanstalt für Stahl, Holz und Steine,08.03",Rudolf-Criegee-Hörsaal,False
 Route zur Wirtschaftsdissenschaftlichen Fakulteitsbibiotek, Route zur Wirtschaftsdissenschaftlichen Fakulteitsbibiotek,"09.21,Fachbibliothek WIWI,Institut für Operations Research (IOR), Bereich Stochastische Modellierung und Optimierung,Wirtschaftswissenschaften, KIT-Fakultät für,Entrepreneurship, Technologie-Management und Innovation (EnTechnon), Institut für",Wirtschaftswissenschaftliche Fakultätsbibliothek,False
 Weg zur Versuchshade der technischen Tablenamik zeigen.,Weg zur Versuchsstation der technischen Tabelle zeigen,"Theoretische Physik (TP), Institut für,Technische Thermodynamik, Institut für,Theoretische Teilchenphysik (TTP), Institut für,Theoretische Elektrotechnik und Systemoptimierung (ITE), Institut für,Produktionstechnik (wbk), Institut für","Technische Thermodynamik und Kältetechnik, Versuchshalle",False
 Kann man aktuell in die Fachschaft geist soz?,Kann man aktuell in die Fachschaft geistig so?,"Fachschaft Geistes- und Sozialwissenschaften,Fachschaft Sport,Studienzentrum für Sehgeschädigte (SZS),Lernzentrum am Fasanenschlösschen (Geb. 30.28),Fachschaft Chemie und Biowissenschaften",Fachschaft GeistSoz,False
" Ist das Gebäude 50, 40 momentan offen?",Ist das Gebäude 50.40 momentan offen?,"50.40,30.96,40.11,30.90,30.95",50.40,True
 Kann man derzeit ins Gebäude 300 ziehen?,Kann man derzeit ins Gebäude 300.0 ziehen?,"300,3300,352,30.21,Forschungsförderung (FOR) CS",310,False
 Die Ambulanzmomentan zugänglich.,Die Ambulanzmomentan zugänglich,"30.90,Fritz-Haller-Hörsaal (20.40),Architektur-Hörsaal 9 (20.40),Egon-Eiermann-Hörsaal (20.40),131",Ambulanz,False
 Ist das Gebäude 310 derzeit offen?,Ist das Gebäude 310 derzeit offen?,"310,11.22,01.52,11.10,Rudolf-Criegee-Hörsaal (30.41)",310,True
 Kann man gerade in Gebäude 5.20 rein.,Kann man gerade in Gebäude 5.2 rein.,"05.20,Rudolf-Plank-Hörsaal (40.32),40.33,30.21,11.30",05.20,True
 Ist die Versuchsanstalt das Köhleräuterinstituts derzeit geöffnet?,Ist die Versuchsanstalt das Köhleräuterinstituts derzeit geöffnet?,"Engelbert-Arnold-Hörsaal (11.10),20.44,Thermische Verfahrenstechnik, Institut für,Versuchsanstalt für Stahl, Holz und Steine,Maschinenbau, KIT-Fakultät für",Versuchsanstalt des Joseph Gottlieb Kölreuter Instituts für Pflanzenwissenschaften,False
 Kann man jetzt ins Gebäude 50.34?,"Kann man jetzt ins Gebäude 50,34?","50.34,30.93,30.43,50.40,11.22",50.34,True
 Hat die KITB-Bilute gerade auf?,Hat die KIB-Bilanz gerade auf?,"30.51,310,303,Chemie-Hörsaal III (30.41),Chemie-Hörsaal II (30.41)",KIT-Bibliothek,False
 Es ist Gebäude 413 momentan zugänglich.,Es ist Gebäude 04.13 momentan zugänglich.,"413,Sicherheit und Umwelt (SUM),Chemie-Hörsaal III (30.41),40.11,11.22",413,True
 Kann man aktuell ins Institut führen für Neutronen für SICK und Reaktortechnik?,Kann man aktuell ist ins Institut führen für Neutronenforschung für SICK AG und Reaktortechnik?,"Technische Thermodynamik und Kältetechnik, Institut für,Mess- und Regelungstechnik MRT, Institut für,Photonik und Quantenelektronik (IPQ), Institut für,Technische Chemie und Polymerchemie, Institut für,Chemische Verfahrenstechnik (CVT), Institut für","Neutronenphysik und Reaktortechnik, Institut für",False
 Hat Gebäude 416 zu Zeit auf.,Hat Gebäude 04:16 auf.,"416,30.42,Chemie-Hörsaal III (30.41),Chemie-Hörsaal II (30.41),Rudolf-Criegee-Hörsaal (30.41)",416,True
 Ist das Institut für Wasser und Gewässerentwicklung? Wasserwirtschaft und Kulturtechnik momentan zugänglich?,Ist das Institut für Wasser und Gewässerentwicklung? Wasserwirtschaft und Kulturtechnik momentan zugänglich?,"10.83,Wasser und Umwelt (IWU), Institut für,Soziologie, Medien- und Kulturwissenschaften (ISMK), Institut für ,Engler-Bunte-Institut, Bereich Wasserchemie,Theoretische Festkörperphysik, Institut für",Institut für Wasser und Gewässerentwicklung - Bereich Wasserwirtschaft und Kulturtechnik,False
 Kann man gerade ins Gebäude 4019 40.19,Kann man gerade ins Gebäude 4019.40,"10.70,20.44,10.84,30.42,20.53",40.19,False
 Hat das Lernzentrum am Versamen schlöst ihr in derzeit geöffnet?,Hat das Lernzentrum am Versammlung schließt ihr in derzeit geöffnet?,"Lernzentrum am Fasanenschlösschen (Geb. 30.28),30.28,30.34,30.23,08.03",Lernzentrum am Fasanenschlösschen,False
 Ist 220° offen?,Ist 220 Grad offen?,"220,Wolfgang-Gaede-Hörsaal (30.22),Technische Thermodynamik, Institut für,Technische Chemie (ITC), Institut für,Professur für Industrieökonomik, Institut für Volkswirtschaftslehre (ECON)",223,False
 hat 40.29° auf,"hat 40,29 auf","40.29,40.40,30.79,30.45,40.11",40.29,True
 Hat das Kolleginnen Gebäude am Zierke gerade geöffnet?,Hat das Kolleginnen Gebäude am Zierker gerade geöffnet?,"20.20,Egon-Eiermann-Hörsaal (20.40),20.21,Fritz-Haller-Hörsaal (20.40),Johann-Gottfried-Tulla-Hörsaal (11.40)",Kollegiengebäude am Zirkel,False
 Kann man aktuell in Gebäude 404 rein.,Kann man aktuell in Gebäude 404.0 rein.,"404,B404,10.91,30.21,Kleiner Hörsaal Bauingenieure (10.50)",404,True
