id,query,position,num_turn,failed
Meteorologie und Klimaforschung - Atmosphärische Aerosolforschung (IMK-AAF) ,Ist das Gebäude barrierefrei zugänglich?,-1,2,1
Meteorologie und Klimaforschung - Atmosphärische Aerosolforschung (IMK-AAF) ,An welcher Adresse befindet sich das Institut?,-1,3,1
257,Können Sie mir den Link zur Homepage von Gebäude 257 geben?,1,1,0
257,Bis wann hat das Gebäude heute geöffnet?,-1,2,1
257,"In welche Richtung muss ich gehen, um zum Standort zu gelangen?",-1,3,1
01.51,Wie gelange ich zu 01.51?,-1,1,1
01.51,Was ist die Adresse?,-1,2,1
01.51,Ab wann hat das Gebäude geöffnet?,-1,3,1
Mitfahrbank (Campus Nord): Südtor,Können Sie mir die Adresse der Mitfahrbank am Südtor des Campus Nord sagen?,-1,1,1
Mitfahrbank (Campus Nord): Südtor,Ist sie derzeit geöffnet?,-1,2,1
Mitfahrbank (Campus Nord): Südtor,Was ist der beste Weg dort hin?,-1,3,1
808,Hat Geb. 808 aktuell offen?,1,1,0
808,Zeig mir den Weg dorthin,-1,2,1
"Professur für Netzwerkökonomie, Institut für Volkswirtschaftslehre (ECON",Können Sie mir den Weg zur Professur für Netzwerkökonomie am ECON weisen?,-1,1,1
"Professur für Netzwerkökonomie, Institut für Volkswirtschaftslehre (ECON",Hat diese Einrichtung eine eigene Webpräsenz?,-1,2,1
"Professur für Netzwerkökonomie, Institut für Volkswirtschaftslehre (ECON",Welche Adresse hat die Professur für Netzwerkökonomie?,-1,3,1
"Professur für Netzwerkökonomie, Institut für Volkswirtschaftslehre (ECON",Verfügt der Standort über einen barrierefreien Zugang?,-1,4,1
322,Welche URL hat das Gebäude 322?,1,1,0
322,Können Sie mir den Weg dorthin zeigen?,-1,2,1
322,Hat das Gebäude einen barrierefreien Zugang?,-1,3,1
322,Ab welcher Uhrzeit ist es zugänglich?,-1,4,1
"Festkörperphysik, Institut für",Verfügt das Institut für Festkörperphysik über einen barrierefreien Zugang?,-1,1,1
"Festkörperphysik, Institut für",Wann hat es geöffnet?,-1,2,1
"Festkörperphysik, Institut für",Wo finde ich den Online-Auftritt?,-1,3,1
Archiv für Architektur und Ingenieurbau (saai),Hat das saai eine barrierefreie Ausstattung?,-1,1,1
Archiv für Architektur und Ingenieurbau (saai),Wo finde ich eine Wegbeschreibung zu diesem Archiv?,-1,2,1
249,Was ist der beste Weg zum Gebäude 249?,1,1,0
249,Gibt es dort einen barrierefreien Zugang?,-1,2,1
249,Ist es offen?,-1,3,1
"Experimentelle Teilchenphysik (ETP), Institut für",Ist der ETP-Bau barrierefrei für Rollstuhlfahrer?,-1,1,1
"Experimentelle Teilchenphysik (ETP), Institut für",Kann ich die Webseite des Gebäudes finden?,-1,2,1
"Anorganische Chemie, Institut für",Um welche Uhrzeit öffnet das Institut für Anorganische Chemie?,-1,1,1
"Anorganische Chemie, Institut für","Ich möchte dorthin gehen, kannst du mir den Weg zeigen?",-1,2,1
"Anorganische Chemie, Institut für",Hat das Institut eine eigene Webseite?,-1,3,1
Fritz-Haller-Hörsaal,Auf welchem Weg gelange ich zum Fritz-Haller-Hörsaal?,-1,1,1
Fritz-Haller-Hörsaal,Kann ich online mehr Informationen dazu finden?,-1,2,1
Fritz-Haller-Hörsaal,Ist der Zugang barrierefrei gestaltet?,-1,3,1
Mitfahrbank (Campus Süd): Schranke zur Westeinfahrt,Können Sie mir eine Wegbeschreibung zur Mitfahrbank an der Schranke der Westeinfahrt (Campus Süd) geben?,-1,1,1
Mitfahrbank (Campus Süd): Schranke zur Westeinfahrt,Wann hat die Mitfahrbank geöffnet?,-1,2,1
Mitfahrbank (Campus Süd): Schranke zur Westeinfahrt,Kann man die Mitfahrbank auch mit einem Rollstuhl nutzen?,-1,3,1
Mitfahrbank (Campus Süd): Schranke zur Westeinfahrt,Nenn mir die Adresse bitte!,-1,4,1
10.63,Wie gelange ich zum Gebäude mit Nummer 10.63?,-1,1,1
10.63,Gibt es dort auch einen barrierefreien Zugang?,-1,2,1
10.63,An welcher Adresse befindet sich das Gebäude?,-1,3,1
10.63,Um welche Uhrzeit öffnen die Türen dort regelmäßig?,-1,4,1
"Kolbenmaschinen, Institut für",Ist das Institut für Kolbenmaschinen barrierefrei?,-1,1,1
"Kolbenmaschinen, Institut für",Hat das Gebäude noch geöffnet?,-1,2,1
"Kolbenmaschinen, Institut für",Was ist die Adresse vom Institut für Kolbenmaschinen?,-1,3,1
9644,Unter welcher URL ist Gebäude 9644 zu finden?,-1,1,1
9644,Ist der Standort barrierefrei zugänglich?,-1,2,1
9644,Um welche Uhrzeit beginnen die Öffnungszeiten?,-1,3,1
Schwerbehindertenvertretung (SBV) Campus Süd,Können Sie mir die Homepage des SBV-Büros am Südcampus nennen?,-1,1,1
Schwerbehindertenvertretung (SBV) Campus Süd,Welche Route führt zum SBV-Gebäude?,-1,2,1
Schwerbehindertenvertretung (SBV) Campus Süd,Bis wann hat die Einrichtung heute geöffnet?,-1,3,1
Schwerbehindertenvertretung (SBV) Campus Süd,Verfügt das Gebäude über einen barrierefreien Zugang?,-1,4,1
124,Hat 124 aktuell geöffnet?,1,1,0
124,Kannst du mir die Adresse geben?,-1,2,1
"Technikzukünfte - Philosophie, Institut für",Wie finde ich den Weg zum Institut für Technikzukünfte - Philosophie?,-1,1,1
"Technikzukünfte - Philosophie, Institut für",An welcher Adresse befindet sich das Institut?,-1,2,1
Technik-Haus,Kann man technik haus mit einem Rollstuhl erreichen?,-1,1,1
Technik-Haus,Wann hat das Gebäude auf und zu?,-1,2,1
Technik-Haus,An welcher Adresse steht das Technik-Haus?,-1,3,1
10.31,Wann schließt das Gebäude 10.31 heute?,-1,1,1
10.31,Was ist der schnellste Weg zum Gebäude?,-1,2,1
10.31,Kann man das Gebäude auch mit einem Rollstuhl erreichen?,-1,3,1
10.31,Existiert eine Webseite mit weiteren Informationen?,-1,4,1
05.01,Wann hat Gebäude 05.01 geöffnet?,-1,1,1
05.01,Ist der Zugang barrierefrei?,-1,2,1
05.01,Was ist die beste Route dorthin?,-1,3,1
05.01,Kann ich eine Webseite dazu finden?,-1,4,1
Zentrale Studienberatung (ZSB),In welcher Straße befindet sich die Zentrale Studienberatung?,-1,1,1
Zentrale Studienberatung (ZSB),Können Sie mir den Weg zur ZSB beschreiben?,-1,2,1
Zentrale Studienberatung (ZSB),Kann ich mir das im Internet anschauen?,-1,3,1
Zentrale Studienberatung (ZSB),Was sind die Öffnungszeiten der ZSB?,-1,4,1
"Angewandte Betriebswirtschaftslehre und Unternehmensführung (IBU), Institut für",Wie erreiche ich online das Institut für Angewandte Betriebswirtschaftslehre und Unternehmensführung?,-1,1,1
"Angewandte Betriebswirtschaftslehre und Unternehmensführung (IBU), Institut für",An welcher Adresse befindet sich das IBU Institut?,-1,2,1
"Angewandte Betriebswirtschaftslehre und Unternehmensführung (IBU), Institut für",Hat das Institut einen barrierefreien Zugang für Rollstuhlfahrer?,-1,3,1
10.50,"Ich brauche eine Route zum KIT, Gebäude 10.50.",-1,1,1
10.50,Bis wann kann man dort noch rein?,-1,2,1
11.10,Wann hat das Gebäude 11.10 geöffnet?,-1,1,1
11.10,An welcher Adresse befindet sich dieses Gebäude?,-1,2,1
Sicherheit und Umwelt (SUM),Wie finde ich die Homepage der SUM abteilung?,-1,1,1
Sicherheit und Umwelt (SUM),Kann man das Gebäude mit dem Rollstuhl erreichen?,-1,2,1
802,Können Sie mir den Weg zum Gebäude 802 beschreiben?,-1,1,1
802,Ist der Zugang barrierefrei?,-1,2,1
802,Existiert eine Internetseite dazu?,-1,3,1
802,Sind die Öffnungszeiten jetzt aktuell?,-1,4,1
309,Kannst du mir die Position von Gebäude 309 sagen?,1,1,0
309,Gib mir eine Route zu diesem Ort,-1,2,1
309,Ist der Zugang barrierefrei und mit Rollstuhl möglich?,-1,3,1
429,Wo finde ich die Internetadresse des Gebäudes 429?,1,1,0
429,Zeige mir den Weg zum Gebäude,-1,2,1
Elektrotechnisches Institut (ETI),Welche URL hat das ETI im Internet?,-1,1,1
Elektrotechnisches Institut (ETI),Kannst du mir eine Wegbeschreibung geben?,-1,2,1
Elektrotechnisches Institut (ETI),An welcher Adresse befindet sich dieses Gebäude?,-1,3,1
Chemie-Hörsaal I,Wo finde ich den Weg zum Chemie-Hörsaal I?,-1,1,1
Chemie-Hörsaal I,Hat dieser Ort eine Webpräsenz?,-1,2,1
Chemie-Hörsaal I,Was sind die aktuellen Öffnungszeiten?,-1,3,1
Fachschaft WiWi,Wo finde ich die WiWi Fachschaft?,-1,1,1
Fachschaft WiWi,Ist der Zugang barrierefrei?,-1,2,1
Fachschaft WiWi,Was ist die beste Route dorthin?,-1,3,1
Fachschaft WiWi,Haben die gerade geöffnet?,-1,4,1
456,Können Sie mir die Adresse von Gebäude 456 nennen?,1,1,0
456,Ist dieses Gebäude barrierefrei zugänglich?,-1,2,1
456,Wann hat es geöffnet?,-1,3,1
456,Bitte zeigen Sie mir den Weg dorthin.,-1,4,1
Bauingenieure-Hörsaal,Gibt es eine Adresse im Internet für den Bauingenieure-Hörsaal?,-1,1,1
Bauingenieure-Hörsaal,Zu welcher Uhrzeit beginnt der Betrieb in diesem Gebäude?,-1,2,1
692,Gesucht ist der Standort von Gebäude 692,1,1,0
692,Existiert dazu eine Internetpräsenz?,-1,2,1
692,Sind die Öffnungszeiten aktuell?,-1,3,1
692,Ist ein barrierefreier Zugang vorhanden?,-1,4,1
516,Welche Website gehört zu Gebäude 516?,1,1,0
516,Kannst du mir den Weg dorthin zeigen?,-1,2,1
417,Was sind die Öffnungszeiten von Gebäude 417?,1,1,0
417,Können Sie mir den Weg zum Gebäude zeigen?,-1,2,1
417,Hat das Gebäude einen barrierefreien Zugang?,-1,3,1
01.96,Wann hat Gebäude 01.96 geöffnet?,-1,1,1
01.96,Können Sie mir eine Wegbeschreibung dorthin geben?,-1,2,1
01.96,An welcher Adresse befindet sich dieses Gebäude?,-1,3,1
"Technikzukünfte - Philosophie, Institut für",Können Sie mir den Standort des Instituts für Technikzukünfte - Philosophie nennen?,-1,1,1
"Technikzukünfte - Philosophie, Institut für",Was ist der beste Weg dort hin?,-1,2,1
"Technikzukünfte - Philosophie, Institut für",Ist es momentan geöffnet?,-1,3,1
10.64,Was ist der Link zur Website von 10.64?,-1,1,1
10.64,Gib mir die Navigationsanweisungen zum Gebäude,-1,2,1
10.64,Nenne mir die Adresse des Standorts,-1,3,1
259,Wie gelange ich zu 2 5 9?,-1,1,1
259,Ist der Zugang barrierefrei,-1,2,1
259,Hat das einen Internetauftritt,-1,3,1
259,An welcher Adresse befindet sich das Gebäude,-1,4,1
522,Wo finde ich die Internetseite vom Gebäude 522?,1,1,0
522,Um welche Uhrzeit macht das Gebäude auf?,-1,2,1
522,Was ist der beste Weg zum Gebäude 522?,1,3,0
B524,Gibt mir den Weg zum Gebäude B524,-1,1,1
B524,Nenne mir die Adresse des Gebäudes,-1,2,1
B524,Hat B524 einen barrierefreien Zugang?,-1,3,1
805,Zeige mir den Weg zum Gebäude 805,1,1,0
805,An welcher Adresse befindet sich dieses Gebäude?,-1,2,1
805,Hat das Gebäude eine eigene Internetseite?,-1,3,1
70.16,An welcher Adresse finde ich das Gebäude 70.16?,-1,1,1
70.16,Wann hat das geöffnet?,-1,2,1
70.16,Können Sie mir einen Navigationslink schicken?,-1,3,1
3300,Können Sie mir die Adresse des Gebäudes 3300 nennen?,-1,1,1
3300,Zu welchen Zeiten hat das Gebäude geöffnet?,-1,2,1
3300,Bitte zeigen Sie mir den Weg zum Gebäude 3300,-1,3,1
"Prozessdatenverarbeitung und Elektronik (IPE), Institut für",Wie finde ich den Weg zum IPE?,-1,1,1
"Prozessdatenverarbeitung und Elektronik (IPE), Institut für",Kann ich dessen Webseite besuchen?,-1,2,1
"Prozessdatenverarbeitung und Elektronik (IPE), Institut für",Ist diese Einrichtung momentan geöffnet?,-1,3,1
B254,Wo befindet sich B254?,-1,1,1
B254,Hat das einen Internetauftritt?,-1,2,1
07.21,Exisitiert eine Website von Gebäude 07.21?,-1,1,1
07.21,Wie gelange ich zum genannten Gebäude?,-1,2,1
07.21,An welcher Adresse befindet sich dieses Gebäude?,-1,3,1
690,In welcher Straße finde ich das Gebäude 690?,1,1,0
690,Wann hat das Haus geöffnet?,-1,2,1
690,Kann ich online Informationen dazu finden?,-1,3,1
690,Hat das Gebäude einen barrierefreien Zugang?,-1,4,1
"Maschinenbau, KIT-Fakultät für",Können Sie mir den Weg zur Maschinenbaufakultät zeigen?,-1,1,1
"Maschinenbau, KIT-Fakultät für",An welcher Adresse befindet sich die Maschinenbau-Fakultät?,-1,2,1
"Maschinenbau, KIT-Fakultät für",Ist das Maschinenbau-Gebäude barrierefrei zugänglich?,-1,3,1
"Maschinenbau, KIT-Fakultät für",Existiert eine Webpräsenz der Maschinenbau-Fakultät?,-1,4,1
223/1,Ist das Gebäude 223/1 barrierefrei zugänglich?,-1,1,1
223/1,Hat das Haus eine eigene Webseite?,-1,2,1
223/1,An welcher Adresse befindet sich Gebäude 223/1?,-1,3,1
223/1,Können Sie mir eine Wegbeschreibung zum Gebäude 223/1 geben?,-1,4,1
01.85,Kannst du mir den Weg zum Gebäude 01.85 zeigen?,-1,1,1
01.85,An welcher Adresse befindet sich das Gebäude?,-1,2,1
01.85,Hat das Gebäude einen barrierefreien Zugang?,-1,3,1
01.85,Existiert eine Webpräsenz für diesen Standort?,-1,4,1
Fachschaft Sport,Um welche Uhrzeit schließt die Fachschaft Sport heute?,-1,1,1
Fachschaft Sport,Kann ich die Fachschaft Sport im Internet finden?,-1,2,1
Fachschaft Sport,An welcher Adresse befindet sich die Fachschaft Sport?,-1,3,1
Fachschaft Sport,Was ist der schnellste Weg zur Fachschaft Sport?,-1,4,1
406,Können Sie mir die Website vom Chemiegebäude 406 nennen?,1,1,0
406,Wie gelange ich zu diesem Standort?,-1,2,1
30.36,Ist das Gebäude auf dem Campus mit der Nummer 30.36 barrierefrei?,-1,1,1
30.36,Was ist der beste Weg dorthin?,-1,2,1
30.36,Sind die Türen momentan aufgeschlossen?,-1,3,1
30.36,An welcher Adresse befindet sich dieses Gebäude?,-1,4,1
Internationales (INTL),"Ich muss 'Internationales' regeln. Zeig mir den Weg dorthin, wo ich das kann.",-1,1,1
Internationales (INTL),Kann ich die Webseite des INTL aufrufen?,-1,2,1
Internationales (INTL),Ist das Internationale Gebäude barrierefrei?,-1,3,1
Internationales (INTL),Sind die Öffnungszeiten des INTL aktuell?,-1,4,1
"Entrepreneurship, Technologie-Management und Innovation (EnTechnon), Institut für",Welche URL hat die Website des EnTechnon-Instituts?,-1,1,1
"Entrepreneurship, Technologie-Management und Innovation (EnTechnon), Institut für",Sind die Türen momentan aufgeschlossen?,-1,2,1
"Entrepreneurship, Technologie-Management und Innovation (EnTechnon), Institut für",An welcher Adresse befindet sich das Institut?,-1,3,1
"Entrepreneurship, Technologie-Management und Innovation (EnTechnon), Institut für",Können Sie mir den Navigationslink zum EnTechnon senden?,-1,4,1
9651,Was ist die Adresse von Gebäude 9651?,-1,1,1
9651,Existiert eine Webpräsenz?,-1,2,1
9651,Können Sie mir den Weg dorthin zeigen?,-1,3,1
807,Hat die Einrichtung momentan auf?,-1,1,1
807,Gibt es dort auch einen barrierefreien Zugang?,-1,2,1
804,Wo befindet sich das Gebäude 804?,1,1,0
804,Ich brauche eine Wegbeschreibung,-1,2,1
804,Hat das einen barrierefreien Zugang?,-1,3,1
10.86,Können Sie mir den Standort von Gebäude 10.86 mitteilen?,-1,1,1
10.86,Was ist der beste Weg zum Gebäude?,-1,2,1
10.86,Existiert eine Webpräsenz dafür?,-1,3,1
712,Navigiere mich bitte zum Gebäude 712,1,1,0
712,Ist der Zugang barrierefrei?,-1,2,1
712,An welcher Adresse befindet sich das Gebäude 712?,1,3,0
712,Existiert dafür eine Internetseite?,-1,4,1
Meteorologie und Klimaforschung  - Troposphäre (IMK-TRO),Verfügt das IMK-TRO über einen barrierefreien Zugang?,-1,1,1
Meteorologie und Klimaforschung  - Troposphäre (IMK-TRO),An welcher Adresse finde ich dieses Institut?,-1,2,1
Meteorologie und Klimaforschung  - Troposphäre (IMK-TRO),Können Sie mir eine Wegbeschreibung zum Gebäude geben?,-1,3,1
10.95,Zeig mir den Link zur Website von 10.95,-1,1,1
10.95,Nenne mir die Adresse des erwähnten Gebäudes,-1,2,1
10.95,Gib mir eine Navigationsanleitung zum Standort,-1,3,1
"Bereich II - Informatik, Wirtschaft und Gesellschaft (CN)","Zu welcher Uhrzeit öffnet der Gebäudekomplex Bereich II, in dem es um Informatik, Wirtschaft und Gesellschaft geht?",-1,1,1
"Bereich II - Informatik, Wirtschaft und Gesellschaft (CN)",Was ist die beste Route zu diesem Standort?,-1,2,1
"Bereich II - Informatik, Wirtschaft und Gesellschaft (CN)",Existiert eine offizielle Webpräsenz für diese Einrichtung?,-1,3,1
"Bereich II - Informatik, Wirtschaft und Gesellschaft (CN)",Ist dieser Bereich barrierefrei mit dem Rollstuhl zugänglich?,-1,4,1
757,Kannst du mir die Internetadresse des Gebäudes 757 nennen?,1,1,0
757,Was ist der beste Weg zum genannten Gebäude?,-1,2,1
757,Bis wann hat dieser Standort heute geöffnet?,-1,3,1
240,Wie komme ich am besten zu 240,1,1,0
240,In welcher Straße befindet sich dieses Bauwerk?,-1,2,1
240,Ab welcher Uhrzeit ist der Standort zugänglich?,-1,3,1
240,Kann ich nähere Informationen auf einer Internetseite finden?,-1,4,1
640,Ist der Zugang zu Gebäude 640 barrierefrei?,1,1,0
640,An welcher Adresse finde ich diese Location?,-1,2,1
640,Können Sie mir eine Wegbeschreibung zum Standort geben?,-1,3,1
246,Wo finde ich das Gebäude 246?,1,1,0
246,Können Sie mir den Weg dorthin erklären?,-1,2,1
246,Bis wann hat dieser Standort geöffnet?,-1,3,1
717,Wann hat das Gebäude 717 geöffnet?,1,1,0
717,An welcher Adresse befindet sich diese Einrichtung?,-1,2,1
717,Können Sie mir eine Wegbeschreibung zum Standort geben?,-1,3,1
717,Ist der Zugang barrierefrei gestaltet?,-1,4,1
332,Was ist der schnellste Weg zum Gebäude 332?,1,1,0
332,Bis wann kann ich das heute noch erreichen?,-1,2,1
International Scholars & Welcome Office (Campus Nord),Hat das International Scholars & Welcome Office im Nordcampus gerade auf?,-1,1,1
International Scholars & Welcome Office (Campus Nord),Kannst du mir die Adresse für diese Einrichtung geben?,-1,2,1
International Scholars & Welcome Office (Campus Nord),Kannst du mir eine Route dorthin anzeigen?,-1,3,1
"Angewandte Materialien - Elektrochemische Technologien (IAM-ET), Institut  für",Wo finde ich das Institut für Angewandte Materialien - Elektrochemische Technologien (IAM-ET)?,-1,1,1
"Angewandte Materialien - Elektrochemische Technologien (IAM-ET), Institut  für",Um welche Uhrzeit kann man das Institut betreten?,-1,2,1
306,Hat der Arkadengang einen barrierefreien Zugang?,-1,1,1
306,Können Sie mir die Adresse geben?,-1,2,1
803,Wann hat Gebäude 803 geöffnet?,-1,1,1
803,An welcher Adresse befindet sich dieses Bauwerk?,-1,2,1
803,Ist der Zugang für Rollstuhlfahrer geeignet?,-1,3,1
803,Welche Route führt zu diesem Standort?,-1,4,1
"Berufspädagogik und Allgemeine Pädagogik (IBAP), Institut für",Wie finde ich den Weg zum IBAP?,-1,1,1
"Berufspädagogik und Allgemeine Pädagogik (IBAP), Institut für",Kannst du mir die Webseite zeigen?,-1,2,1
"Berufspädagogik und Allgemeine Pädagogik (IBAP), Institut für",An welcher Adresse finde ich die Einrichtung?,-1,3,1
"Berufspädagogik und Allgemeine Pädagogik (IBAP), Institut für",Bis wann hat die Institution heute geöffnet?,-1,4,1
10.12,Hat 10.12 derzeit auf?,-1,1,1
10.12,An welcher Adresse finde ich es?,-1,2,1
518,Ist das 518 barrierefrei zugänglich?,1,1,0
518,Können Sie mir den Weg dorthin beschreiben?,-1,2,1
518,An welcher Adresse kann ich es finden?,-1,3,1
10.83,Kann man den Komplex 10.83 barrierefrei erreichen?,-1,1,1
10.83,"Welchen Weg muss ich einschlagen, um zu diesem Standort zu gelangen?",-1,2,1
Geodätisches Institut (GIK),Können Sie mir die Internetseite des GIK zeigen?,-1,1,1
Geodätisches Institut (GIK),Bis wann kann ich diesen Ort noch besuchen?,-1,2,1
"Technikzukünfte - Geschichte, Institut für",Zu welcher Uhrzeit öffnet das Institut für Technikzukünfte - Geschichte?,-1,1,1
"Technikzukünfte - Geschichte, Institut für",An welcher Adresse finde ich diese Einrichtung?,-1,2,1
"Technikzukünfte - Geschichte, Institut für",Ist der Zugang zu diesem Institut barrierefrei?,-1,3,1
Otto-Lehmann-Hörsaal,Können Sie mir den Standort des Otto-Lehmann-Hörsaals nennen?,-1,1,1
Otto-Lehmann-Hörsaal,Ist dieser Veranstaltungsort barrierefrei mit einem Rollstuhl zugänglich?,-1,2,1
686,Können Sie mir den Weg zum Gebäude 686 aufzeigen?,-1,1,1
686,Können Sie mir die Adresse mitteilen?,-1,2,1
326,Können Sie mir die Adresse des Gebäudes 326 nennen?,1,1,0
326,Wann hat das Haus geöffnet?,-1,2,1
229,Ist der Zugang zum Gebäude 229 barrierefrei?,1,1,0
229,Was ist die beste Route zum genannten Ort?,-1,2,1
229,An welcher Adresse befindet sich dieses Bauwerk?,-1,3,1
229,Existiert eine Internetpräsenz für diese Einrichtung?,-1,4,1
769,Welche URL hat Gebäude 769?,1,1,0
769,Sind die Türen aktuell für Besucher zugänglich?,-1,2,1
769,An welcher Adresse befindet sich dieser Bau?,-1,3,1
"Massivbau und Baustofftechnologie, Institut für",Können Sie mir den Weg zum Institut für Massivbau und Baustofftechnologie beschreiben?,-1,1,1
"Massivbau und Baustofftechnologie, Institut für",Ist der Zugang barrierefrei und mit Rollstuhl möglich?,-1,2,1
"Massivbau und Baustofftechnologie, Institut für",Bis wann hat die Einrichtung heute geöffnet?,-1,3,1
"Massivbau und Baustofftechnologie, Institut für",Können Sie mir die genaue Adresse nennen?,-1,4,1
301,Kannst du mir die Adresse von Gebäude 301 nennen?,1,1,0
301,Wann hat die Einrichtung geöffnet?,-1,2,1
301,Kann ich online weitere Informationen finden?,-1,3,1
464,Ist der Zugang zu Gebäude 464 barrierefrei?,1,1,0
464,Existiert eine offizielle Internetpräsenz für diese Einrichtung?,-1,2,1
464,An welcher Adresse befindet sich diese Lokalität?,-1,3,1
464,Sind die Türen momentan geöffnet?,-1,4,1
739,Welche Homepage hat Gebäude 739?,1,1,0
739,Ist der Zugang barrierefrei?,-1,2,1
739,An welcher Adresse befindet sich dieser Bau?,-1,3,1
Interfakultatives Institut für Anwendungen der Informatik,Hat das IFI momentan auf?,-1,1,1
Interfakultatives Institut für Anwendungen der Informatik,Ist der Zugang dort barrierefrei und mit einem Rollstuhl zu bewältigen?,-1,2,1
Chemie-Hörsaal II,Wann hat das Chemie-Hörsaal II geöffnet?,-1,1,1
Chemie-Hörsaal II,Kann ich die Internetpräsenz von diesem Lehrraum finden?,-1,2,1
573,Kann ich mit einem Rollstuhl in Gebäude 573 eintreten und mich darin bewegen?,-1,1,1
573,Existiert eine Webpräsenz zu diesem Standort?,-1,2,1
573,Können Sie mir eine Route zum Zielort beschreiben?,-1,3,1
573,An welcher Adresse befindet sich diese Einrichtung?,-1,4,1
"Elektroenergiesysteme und Hochspannungstechnik , Institut für",Können Sie mir den Link zur Homepage des Instituts für Elektroenergiesysteme und Hochspannungstechnik nennen?,-1,1,1
"Elektroenergiesysteme und Hochspannungstechnik , Institut für",Bis wann hat diese Einrichtung heute geöffnet?,-1,2,1
421,Kann ich das Gebäude (421) mit dem Rollstuhl betreten?,1,1,0
421,Kann ich dazu Informationen online finden?,-1,2,1
11.30,"Sag mir, wo ist Gebäude 11.30!",-1,1,1
11.30,Den schnellsten Weg zum Ziel bitte,-1,2,1
11.30,Ist der Zugang auch für Rollstuhlfahrer möglich?,-1,3,1
11.30,Kann ich online mehr Informationen finden?,-1,4,1
Neuer Hörsaal Chemie,Können Sie mir den Weg zum Neuer Hörsaal Chemie zeigen?,-1,1,1
Neuer Hörsaal Chemie,An welcher Adresse befindet sich das Gebäude?,-1,2,1
06.45,Wie finde ich das Gebäude 06.45?,-1,1,1
