id,query,rephrased_query,position,num_turn,failed
Engler-Bunte-Hörsaal,Gibt es eine Website davon?,Gibt es eine Website für das Gebäude Engler-Bunte-Hörsaal?,-1,2,1
433,Wo ist Gebäude 433?,Welches Gebäude ist Gebäude 433?,1,1,0
433,Und hat es gerade offen?,Hat Gebäude 433 gerade geöffnet?,1,2,0
459,Ist Gebäude 459 grade geöffnet?,Ist Gebäude 459 grade geöffnet?,1,1,0
459,Ist das auch rollstuhlgerecht?,Ist das Karlsruher Beryllium Handling Facility rollstuhlgerecht?,1,2,0
40.11,Ist Gebäude 40.11 rollstuhlgerecht?,What sind die Zugänglichkeitsmerkmale von Gebäude 40.11?,1,1,0
40.11,Wie komme ich dahin?,Wie komme ich zum Engler-Bunte-Institut?,-1,2,1
40.11,Gibt es eine Website davon?,Welche Website gibt es für das Engler-Bunte-Institut (40.11)?,1,3,0
40.11,Und hat es gerade offen?,"""Hat das Engler-Bunte-Institut (EBI) (40.11) gerade geöffnet?""",1,4,0
30.33,Wo ist Gebäude 30.33?,Wo befindet sich Gebäude 30.33?,2,1,0
30.33,Wie lange ist das noch offen?,Wie lange ist der MTI-Hörsaal (30.33) noch offen?,2,2,0
Heinrich-Hertz-Hörsaal,Ist Gebäude Heinrich-Hertz-Hörsaal grade geöffnet?,Is das Gebäude mit dem Heinrich-Hertz-Hörsaal grade geöffnet?,-1,1,1
Heinrich-Hertz-Hörsaal,Wie komme ich dahin?,Wie komme ich zum Heinrich-Hertz-Hörsaal?,-1,2,1
Meteorologie und Klimaforschung - Atmosphärische Aerosolforschung (IMK-AAF) ,Ist Gebäude Meteorologie und Klimaforschung - Atmosphärische Aerosolforschung (IMK-AAF)  grade geöffnet?,Is das Gebäude Meteorologie und Klimaforschung - Atmosphärische Aerosolforschung (IMK-AAF) grade geöffnet?,1,1,0
Meteorologie und Klimaforschung - Atmosphärische Aerosolforschung (IMK-AAF) ,Ist das auch rollstuhlgerecht?,Is das Gebäude Meteorologie und Klimaforschung - Atmosphärische Aerosolforschung (IMK-AAF) rollstuhlgerecht?,1,2,0
Meteorologie und Klimaforschung - Atmosphärische Aerosolforschung (IMK-AAF) ,Wo ist das?,Wo befindet sich Meteorologie und Klimaforschung - Atmosphärische Aerosolforschung (IMK-AAF)?,1,3,0
257,Was ist die Webseite von Gebäude 257?,Welche Webseite gehört zum Gebäude 257?,1,1,0
257,Wie lange ist das noch offen?,Wie lange ist Gebäude 257 noch offen?,1,2,0
257,Wie komme ich dahin?,Wie komme ich zu Gebäude 257?,1,3,0
01.51,Wie komme ich zu Gebäude 01.51?,Wie komme ich zu Gebäude 01.51?,1,1,0
01.51,Wo ist das?,Wo ist Gebäude 01.51?,1,2,0
01.51,Wann öffnet es?,Wann öffnet das Gebäude 01.51?,1,3,0
Mitfahrbank (Campus Nord): Südtor,Wo ist Gebäude Mitfahrbank (Campus Nord): Südtor?,Where ist Gebäude Mitfahrbank (Campus Nord),2,1,0
Mitfahrbank (Campus Nord): Südtor,Und hat es gerade offen?,Hat Gebäude Mitfahrbank (Campus Nord): Südtor gerade offen?,1,2,0
Mitfahrbank (Campus Nord): Südtor,Wie komme ich dahin?,Wie komme ich zum Gebäude Mitfahrbank (Campus Nord): Südtor?,1,3,0
808,Ist Gebäude 808 grade geöffnet?,Ist Gebäude 808 grade geöffnet?,1,1,0
808,Wie komme ich dahin?,Wo ist Gebäude 808?,1,2,0
"Professur für Netzwerkökonomie, Institut für Volkswirtschaftslehre (ECON","Wie komme ich zu Gebäude Professur für Netzwerkökonomie, Institut für Volkswirtschaftslehre (ECON?",Wie komme ich zum Gebäude der Professur für Netzwerkökonomie am Institut für Volkswirtschaftslehre?,1,1,0
"Professur für Netzwerkökonomie, Institut für Volkswirtschaftslehre (ECON",Gibt es eine Website davon?,"Welche Website gibt es für die Professur für Netzwerkökonomie, Institut für Volkswirtschaftslehre (ECON)?",1,2,0
"Professur für Netzwerkökonomie, Institut für Volkswirtschaftslehre (ECON",Wo ist das?,"Wo ist die Professur für Netzwerkökonomie, Institut für Volkswirtschaftslehre (ECON)?",1,3,0
"Professur für Netzwerkökonomie, Institut für Volkswirtschaftslehre (ECON",Ist das auch rollstuhlgerecht?,"Ist das Gebäude der Professur für Netzwerkökonomie, Institut für Volkswirtschaftslehre (ECON) rollstuhlgerecht?",1,4,0
322,Was ist die Webseite von Gebäude 322?,Welche Webseite gibt es für Gebäude 322?,1,1,0
322,Wie komme ich dahin?,Wie komme ich zum Gebäude 322?,1,2,0
322,Ist das auch rollstuhlgerecht?,Ist Gebäude 322 rollstuhlgerecht?,1,3,0
322,Wann öffnet es?,Wann öffnet Gebäude 322?,1,4,0
"Festkörperphysik, Institut für","Ist Gebäude Festkörperphysik, Institut für rollstuhlgerecht?",Ist das Gebäude der Festkörperphysik rollstuhlgerecht?,-1,1,1
"Festkörperphysik, Institut für",Was sind die Öffnungszeiten?,Was sind die Öffnungszeiten von Gebäude Festkörperphysik?,1,2,0
"Festkörperphysik, Institut für",Gibt es eine Website davon?,Welche Website gibt es für das Institut für Festkörperphysik?,1,3,0
Archiv für Architektur und Ingenieurbau (saai),Ist Gebäude Archiv für Architektur und Ingenieurbau (saai) rollstuhlgerecht?,Ist das Gebäude Archiv für Architektur und Ingenieurbau rollstuhlgerecht?,1,1,0
Archiv für Architektur und Ingenieurbau (saai),Wie komme ich dahin?,Wie komme ich zum Archiv für Architektur und Ingenieurbau (saai)?,1,2,0
249,Wie komme ich zu Gebäude 249?,Welches Gebäude ist Gebäude 249?,1,1,0
249,Ist das auch rollstuhlgerecht?,Ist Gebäude 249 rollstuhlgerecht?,1,2,0
249,Und hat es gerade offen?,Ist Gebäude 249 gerade offen?,1,3,0
"Experimentelle Teilchenphysik (ETP), Institut für","Ist Gebäude Experimentelle Teilchenphysik (ETP), Institut für rollstuhlgerecht?",Is das Gebäude Experimentelle Teilchenphysik (ETP) rollstuhlgerecht?,1,1,0
"Experimentelle Teilchenphysik (ETP), Institut für",Gibt es eine Website davon?,Gibt es eine Website für das Physik-Hochhaus?,-1,2,1
"Anorganische Chemie, Institut für","Wann öffnet Gebäude Anorganische Chemie, Institut für?",Wann öffnet das Gebäude Anorganische Chemie?,1,1,0
"Anorganische Chemie, Institut für",Wie komme ich dahin?,Wie komme ich zum Chemie-Turm III?,2,2,0
"Anorganische Chemie, Institut für",Gibt es eine Website davon?,"Wie kann ich die Website von Chemie-Turm III (Anorganische Chemie, Institut für) finden?",1,3,0
Fritz-Haller-Hörsaal,Wie komme ich zu Gebäude Fritz-Haller-Hörsaal?,Wie komme ich zum Fritz-Haller-Hörsaal?,-1,1,1
Fritz-Haller-Hörsaal,Gibt es eine Website davon?,Gibt es eine Website zu Gebäude Fritz-Haller-Hörsaal?,-1,2,1
Fritz-Haller-Hörsaal,Ist das auch rollstuhlgerecht?,Ist der Fritz-Haller-Hörsaal rollstuhlgerecht?,-1,3,1
Mitfahrbank (Campus Süd): Schranke zur Westeinfahrt,Wie komme ich zu Gebäude Mitfahrbank (Campus Süd): Schranke zur Westeinfahrt?,Wie komme ich zur Schranke zur Westeinfahrt am Gebäude Mitfahrbank auf dem Campus Süd?,1,1,0
Mitfahrbank (Campus Süd): Schranke zur Westeinfahrt,Was sind die Öffnungszeiten?,Was sind die Öffnungszeiten von Scientific Computing Center (Mitfahrbank (Campus Süd): Schranke zur Westeinfahrt)?,1,2,0
Mitfahrbank (Campus Süd): Schranke zur Westeinfahrt,Ist das auch rollstuhlgerecht?,Ist das Scientific Computing Center rollstuhlgerecht?,3,3,0
Mitfahrbank (Campus Süd): Schranke zur Westeinfahrt,Wo ist das?,Wo ist das Scientific Computing Center (Mitfahrbank (Campus Süd): Schranke zur Westeinfahrt)?,1,4,0
10.63,Wie komme ich zu Gebäude 10.63?,Welches Gebäude ist Gebäude 10.63?,1,1,0
10.63,Ist das auch rollstuhlgerecht?,Ist die Windkanalhalle rollstuhlgerecht?,1,2,0
10.63,Wo ist das?,Wo ist die Windkanalhalle?,1,3,0
10.63,Wann öffnet es?,Wann öffnet die Windkanalhalle?,1,4,0
"Kolbenmaschinen, Institut für","Ist Gebäude Kolbenmaschinen, Institut für rollstuhlgerecht?",Welche Einrichtungen sind im Gebäude Kolbenmaschinen?,1,1,0
"Kolbenmaschinen, Institut für",Wie lange ist das noch offen?,Wie lange ist das Institut für Kolbenmaschinen noch offen?,1,2,0
"Kolbenmaschinen, Institut für",Wo ist das?,Wo ist das Institut für Kolbenmaschinen?,1,3,0
9644,Was ist die Webseite von Gebäude 9644?,Welche Webseite gehört zum Gebäude 9644?,1,1,0
9644,Ist das auch rollstuhlgerecht?,Ist Gebäude 9644 rollstuhlgerecht?,1,2,0
9644,Wann öffnet es?,Wann öffnet Gebäude 9644?,1,3,0
Schwerbehindertenvertretung (SBV) Campus Süd,Was ist die Webseite von Gebäude Schwerbehindertenvertretung (SBV) Campus Süd?,What ist die Webseite der SBV am Campus Süd?,1,1,0
Schwerbehindertenvertretung (SBV) Campus Süd,Wie komme ich dahin?,Wie komme ich zum Kollegiengebäude am Ehrenhof?,-1,2,1
Schwerbehindertenvertretung (SBV) Campus Süd,Wie lange ist das noch offen?,Wie lange ist das Kollegiengebäude am Ehrenhof offen?,5,3,0
Schwerbehindertenvertretung (SBV) Campus Süd,Ist das auch rollstuhlgerecht?,Ist das Gebäude Schwerbehindertenvertretung (SBV) Campus Süd rollstuhlgerecht?,1,4,0
124,Ist Gebäude 124 grade geöffnet?,Ist Gebäude 124 grade geöffnet?,1,1,0
124,Wo ist das?,Wo ist die Ambulanz?,2,2,0
"Technikzukünfte - Philosophie, Institut für","Wie komme ich zu Gebäude Technikzukünfte - Philosophie, Institut für?",Wie komme ich zum Gebäude Technikzukünfte Philosophie Institut?,1,1,0
"Technikzukünfte - Philosophie, Institut für",Wo ist das?,Wo ist das Institut für Technikzukünfte - Philosophie?,1,2,0
Technik-Haus,Ist Gebäude Technik-Haus rollstuhlgerecht?,Is das Gebäude Technik-Haus rollstuhlgerecht?,1,1,0
Technik-Haus,Was sind die Öffnungszeiten?,What sind die Öffnungszeiten von Technik-Haus?,1,2,0
Technik-Haus,Wo ist das?,Wo ist das Technik-Haus?,1,3,0
10.31,Wie lange ist Gebäude 10.31 noch geöffnet?,Wie lange ist Gebäude 10.31 noch geöffnet?,1,1,0
10.31,Wie komme ich dahin?,Wie komme ich zum Gebäude 10.31?,1,2,0
10.31,Ist das auch rollstuhlgerecht?,Ist das Gebäude 10.31 rollstuhlgerecht?,1,3,0
10.31,Gibt es eine Website davon?,Gibt es eine Website für das Kollegiengebäude Maschinenbau II (10.31)?,1,4,0
05.01,Was sind die Öffnungszeiten von Gebäude 05.01?,What sind die Öffnungszeiten von Gebäude 05.01?,1,1,0
05.01,Ist das auch rollstuhlgerecht?,Ist Gebäude 05.01 rollstuhlgerecht?,1,2,0
05.01,Wie komme ich dahin?,Wie komme ich zum Gebäude 05.01?,1,3,0
05.01,Gibt es eine Website davon?,Gibt es eine Website für Schwarzer Kater (05.01)?,1,4,0
Zentrale Studienberatung (ZSB),Wo ist Gebäude Zentrale Studienberatung (ZSB)?,Wo ist das Gebäude Zentrale Studienberatung (ZSB)?,1,1,0
Zentrale Studienberatung (ZSB),Wie komme ich dahin?,Wie komme ich zum Adolf-Würth-Gebäude?,2,2,0
Zentrale Studienberatung (ZSB),Gibt es eine Website davon?,Gibt es eine Website für die Zentrale Studienberatung (ZSB) im Adolf-Würth-Gebäude?,1,3,0
Zentrale Studienberatung (ZSB),Wann öffnet es?,Wann öffnet das Adolf-Würth-Gebäude?,2,4,0
"Angewandte Betriebswirtschaftslehre und Unternehmensführung (IBU), Institut für","Was ist die Webseite von Gebäude Angewandte Betriebswirtschaftslehre und Unternehmensführung (IBU), Institut für?",What ist die Webseite des Instituts für Angewandte Betriebswirtschaftslehre und Unternehmensführung (IBU)?,1,1,0
"Angewandte Betriebswirtschaftslehre und Unternehmensführung (IBU), Institut für",Wo ist das?,Wo ist das Institut für Angewandte Betriebswirtschaftslehre und Unternehmensführung (IBU)?,1,2,0
"Angewandte Betriebswirtschaftslehre und Unternehmensführung (IBU), Institut für",Ist das auch rollstuhlgerecht?,Ist die Parkgarage Kaiserstraße rollstuhlgerecht?,2,3,0
10.50,Wie komme ich zu Gebäude 10.50?,Welches Gebäude ist Gebäude 10.50?,2,1,0
10.50,Wie lange ist das noch offen?,Wie lange ist das Bauingenieurshochhaus (10.50) noch offen?,2,2,0
11.10,Was sind die Öffnungszeiten von Gebäude 11.10?,Was sind die Öffnungszeiten von Gebäude 11.10?,3,1,0
11.10,Wo ist das?,Wo ist das Elektrotechnische Institut?,-1,2,1
Sicherheit und Umwelt (SUM),Was ist die Webseite von Gebäude Sicherheit und Umwelt (SUM)?,Welche Webseite hat das Gebäude Sicherheit und Umwelt (SUM)?,1,1,0
Sicherheit und Umwelt (SUM),Ist das auch rollstuhlgerecht?,Ist das Gebäude von Sicherheit und Umwelt (SUM) rollstuhlgerecht?,1,2,0
802,Wie komme ich zu Gebäude 802?,Welches Gebäude ist Gebäude 802?,1,1,0
802,Ist das auch rollstuhlgerecht?,Ist Gebäude 802 rollstuhlgerecht?,1,2,0
802,Gibt es eine Website davon?,Gibt es eine Website für Gebäude 802?,1,3,0
802,Und hat es gerade offen?,Gibt es in Gebäude 802 gerade geöffnet?,1,4,0
309,Wo ist Gebäude 309?,Welches Gebäude ist Gebäude 309?,1,1,0
309,Wie komme ich dahin?,Wie komme ich zu Gebäude 309?,1,2,0
309,Ist das auch rollstuhlgerecht?,Ist Gebäude 309 rollstuhlgerecht?,1,3,0
429,Was ist die Webseite von Gebäude 429?,Welche Webseite gehört zum Gebäude 429?,1,1,0
429,Wie komme ich dahin?,Wie komme ich zum Gebäude 429?,1,2,0
Elektrotechnisches Institut (ETI),Was ist die Webseite von Gebäude Elektrotechnisches Institut (ETI)?,Welche Webseite des Gebäudes des Elektrotechnischen Instituts (ETI),1,1,0
Elektrotechnisches Institut (ETI),Wie komme ich dahin?,Wie komme ich zum Elektrotechnischen Institut (ETI)?,1,2,0
Elektrotechnisches Institut (ETI),Wo ist das?,Wo ist das Elektrotechnische Institut (ETI)?,1,3,0
Chemie-Hörsaal I,Wie komme ich zu Gebäude Chemie-Hörsaal I?,Wie komme ich zum Gebäude Chemie-Hörsaal I?,-1,1,1
Chemie-Hörsaal I,Gibt es eine Website davon?,Gibt es eine Website für Gebäude Chemie-Hörsaal I?,-1,2,1
Chemie-Hörsaal I,Wie lange ist das noch offen?,Wie lange ist Gebäude Chemie-Hörsaal I noch offen?,-1,3,1
Fachschaft WiWi,Wo ist Gebäude Fachschaft WiWi?,Wo ist die Fachschaft WiWi?,1,1,0
Fachschaft WiWi,Ist das auch rollstuhlgerecht?,Is das Gebäude der Fachschaft WiWi rollstuhlgerecht?,1,2,0
Fachschaft WiWi,Wie komme ich dahin?,Wie komme ich zum Gebäude der Fachschaft WiWi?,1,3,0
Fachschaft WiWi,Und hat es gerade offen?,Is das Gebäude der Fachschaft WiWi gerade geöffnet?,1,4,0
456,Wo ist Gebäude 456?,Wo befindet sich Gebäude 456?,1,1,0
456,Ist das auch rollstuhlgerecht?,Ist die GODZILLA Test-Facility Beryllide-Production rollstuhlgerecht?,3,2,0
456,Was sind die Öffnungszeiten?,Was sind die Öffnungszeiten von GODZILLA Test-Facility Beryllide-Production (456)?,1,3,0
456,Wie komme ich dahin?,Wie komme ich zur GODZILLA Test-Facility Beryllide-Production (456)?,1,4,0
Bauingenieure-Hörsaal,Was ist die Webseite von Gebäude Bauingenieure-Hörsaal?,Welche Webseite gibt es für das Gebäude Bauingenieure-Hörsaal?,-1,1,1
Bauingenieure-Hörsaal,Wann öffnet es?,Wann öffnet der Bauingenieure-Hörsaal?,-1,2,1
692,Wo ist Gebäude 692?,Welches Gebäude ist Gebäude 692?,1,1,0
692,Gibt es eine Website davon?,Gibt es eine Website für Gebäude 692?,1,2,0
692,Und hat es gerade offen?,Hat Gebäude 692 gerade geöffnet?,1,3,0
692,Ist das auch rollstuhlgerecht?,Ist Gebäude 692 rollstuhlgerecht?,1,4,0
516,Was ist die Webseite von Gebäude 516?,Welche Webseite gehört zum Gebäude 516?,1,1,0
516,Wie komme ich dahin?,Wie komme ich zum Gebäude 516?,1,2,0
417,Wann öffnet Gebäude 417?,Wann öffnet Gebäude 417?,1,1,0
417,Wie komme ich dahin?,Wie komme ich zum Gebäude 417?,1,2,0
417,Ist das auch rollstuhlgerecht?,Ist Gebäude 417 rollstuhlgerecht?,1,3,0
01.96,Was sind die Öffnungszeiten von Gebäude 01.96?,Was sind die Öffnungszeiten von Gebäude 01.96?,1,1,0
01.96,Wie komme ich dahin?,Wie komme ich zu Gebäude 01.96?,1,2,0
01.96,Wo ist das?,Wo ist Gebäude 01.96?,1,3,0
"Technikzukünfte - Philosophie, Institut für","Wo ist Gebäude Technikzukünfte - Philosophie, Institut für?",Wo sind Gebäude Technikzukünfte und Philosophie?,1,1,0
"Technikzukünfte - Philosophie, Institut für",Wie komme ich dahin?,Wie komme ich zum Institut für Technikzukünfte - Philosophie?,1,2,0
"Technikzukünfte - Philosophie, Institut für",Und hat es gerade offen?,Hat das Institut für Technikzukünfte - Philosophie gerade geöffnet?,1,3,0
10.64,Was ist die Webseite von Gebäude 10.64?,Welche Webseite hat Gebäude 10.64?,1,1,0
10.64,Wie komme ich dahin?,Wie komme ich zum Gebäude 10.64?,1,2,0
10.64,Wo ist das?,Wo ist Gebäude 10.64?,1,3,0
259,Wie komme ich zu Gebäude 259?,Welches Gebäude ist Gebäude 259?,1,1,0
259,Ist das auch rollstuhlgerecht?,Is Gebäude 259 rollstuhlgerecht?,1,2,0
259,Gibt es eine Website davon?,Gibt es eine Website für Gebäude 259?,1,3,0
259,Wo ist das?,Wo ist Gebäude 259?,1,4,0
522,Was ist die Webseite von Gebäude 522?,Welche Webseite hat Gebäude 522?,1,1,0
522,Wann öffnet es?,Wann öffnet Gebäude 522?,1,2,0
522,Wie komme ich dahin?,Wie komme ich zum Gebäude 522?,1,3,0
B524,Wie komme ich zu Gebäude B524?,Welches Gebäude ist B524?,1,1,0
B524,Wo ist das?,Wo ist Gebäude B524?,1,2,0
B524,Ist das auch rollstuhlgerecht?,Ist Gebäude B524 rollstuhlgerecht?,1,3,0
805,Wie komme ich zu Gebäude 805?,Welches Gebäude ist Gebäude 805?,1,1,0
805,Wo ist das?,Wo ist Gebäude 805?,1,2,0
805,Gibt es eine Website davon?,Welche Website gibt es zu Gebäude 805?,1,3,0
70.16,Wo ist Gebäude 70.16?,Wo ist Gebäude 70.16?,1,1,0
70.16,Was sind die Öffnungszeiten?,Was sind die Öffnungszeiten von Gebäude 70.16?,1,2,0
70.16,Wie komme ich dahin?,Wie komme ich zu Gebäude 70.16?,1,3,0
3300,Wo ist Gebäude 3300?,Wo befindet sich Gebäude 3300?,1,1,0
3300,Was sind die Öffnungszeiten?,Was sind die Öffnungszeiten von Gebäude 3300?,1,2,0
3300,Wie komme ich dahin?,Wie komme ich zum Gebäude 3300?,1,3,0
"Prozessdatenverarbeitung und Elektronik (IPE), Institut für","Wie komme ich zu Gebäude Prozessdatenverarbeitung und Elektronik (IPE), Institut für?",Wo befindet sich das Institut für Prozessdatenverarbeitung und Elektronik (IPE)?,1,1,0
"Prozessdatenverarbeitung und Elektronik (IPE), Institut für",Gibt es eine Website davon?,Welche Website gibt es für das Institut für Prozessdatenverarbeitung und Elektronik (IPE)?,1,2,0
"Prozessdatenverarbeitung und Elektronik (IPE), Institut für",Und hat es gerade offen?,Hat das Institut für Prozessdatenverarbeitung und Elektronik (IPE) gerade geöffnet?,1,3,0
B254,Wo ist Gebäude B254?,Welches Gebäude ist B254?,2,1,0
B254,Gibt es eine Website davon?,Gibt es eine Website zu Gebäude B254?,2,2,0
07.21,Was ist die Webseite von Gebäude 07.21?,Welche Webseite gehört zum Gebäude 07.21?,1,1,0
07.21,Wie komme ich dahin?,Wie komme ich zum KIT-CDNC Chair of Dependable Nano Computing?,1,2,0
07.21,Wo ist das?,Wo ist das KIT-CDNC Chair of Dependable Nano Computing?,1,3,0
690,Wo ist Gebäude 690?,Wo befindet sich Gebäude 690?,1,1,0
690,Was sind die Öffnungszeiten?,Was sind die Öffnungszeiten von Gebäude 690?,1,2,0
690,Gibt es eine Website davon?,Welche Website zu Gebäude 690 gibt es?,1,3,0
690,Ist das auch rollstuhlgerecht?,Ist Gebäude 690 rollstuhlgerecht?,1,4,0
"Maschinenbau, KIT-Fakultät für","Wie komme ich zu Gebäude Maschinenbau, KIT-Fakultät für?",Wie komme ich zum Gebäude Maschinenbau?,1,1,0
"Maschinenbau, KIT-Fakultät für",Wo ist das?,Wo ist das Alte Maschinenbaugebäude?,-1,2,1
"Maschinenbau, KIT-Fakultät für",Ist das auch rollstuhlgerecht?,Ist das Alte Maschinenbaugebäude rollstuhlgerecht?,5,3,0
"Maschinenbau, KIT-Fakultät für",Gibt es eine Website davon?,Gibt es eine Website für das Alte Maschinenbaugebäude der KIT-Fakultät für Maschinenbau?,1,4,0
223/1,Ist Gebäude 223/1 rollstuhlgerecht?,Is Gebäude 223/1 rollstuhlgerecht?,2,1,0
223/1,Gibt es eine Website davon?,Gibt es eine Website zu Gebäude 223/1?,2,2,0
223/1,Wo ist das?,Wo ist Gebäude 223/1?,2,3,0
223/1,Wie komme ich dahin?,Wo ist Gebäude 223/1?,2,4,0
01.85,Wie komme ich zu Gebäude 01.85?,Welches Gebäude ist Gebäude 01.85?,1,1,0
01.85,Wo ist das?,Wo ist Gebäude 01.85?,1,2,0
01.85,Ist das auch rollstuhlgerecht?,Ist Gebäude 01.85 rollstuhlgerecht?,1,3,0
01.85,Gibt es eine Website davon?,"""Was ist über Gebäude 01.85 auf der Website der Universität zu finden?""",1,4,0
Fachschaft Sport,Wie lange ist Gebäude Fachschaft Sport noch geöffnet?,Wie lange ist das Gebäude der Fachschaft Sport noch geöffnet?,1,1,0
Fachschaft Sport,Gibt es eine Website davon?,Gibt es eine Website für die Fachschaft Sport?,1,2,0
Fachschaft Sport,Wo ist das?,Wo ist die Fachschaft Sport?,1,3,0
Fachschaft Sport,Wie komme ich dahin?,Wo ist die Fachschaft Sport?,1,4,0
406,Was ist die Webseite von Gebäude 406?,Welche Webseite gehört zum Gebäude 406?,1,1,0
406,Wie komme ich dahin?,Wie komme ich zum Gebäude 406?,1,2,0
30.36,Ist Gebäude 30.36 rollstuhlgerecht?,Is Gebäude 30.36 rollstuhlgerecht?,1,1,0
30.36,Wie komme ich dahin?,Wie komme ich zum Gebäude 30.36?,1,2,0
30.36,Und hat es gerade offen?,Hat Gebäude 30.36 gerade offen?,1,3,0
30.36,Wo ist das?,Wo ist Gebäude 30.36?,1,4,0
Internationales (INTL),Wie komme ich zu Gebäude Internationales (INTL)?,Wie komme ich zum Gebäude INTL?,4,1,0
Internationales (INTL),Gibt es eine Website davon?,Gibt es eine Website für das Gebäude Internationales (INTL)?,2,2,0
Internationales (INTL),Ist das auch rollstuhlgerecht?,Ist das Gebäude Internationales (INTL) rollstuhlgerecht?,3,3,0
Internationales (INTL),Und hat es gerade offen?,Ist das Gebäude Internationales (INTL) gerade offen?,3,4,0
"Entrepreneurship, Technologie-Management und Innovation (EnTechnon), Institut für","Was ist die Webseite von Gebäude Entrepreneurship, Technologie-Management und Innovation (EnTechnon), Institut für?","What ist die Webseite des Instituts für Entrepreneurship, Technologie-Management und Innovation (EnTechnon)?",1,1,0
"Entrepreneurship, Technologie-Management und Innovation (EnTechnon), Institut für",Und hat es gerade offen?,Welche Öffnungszeiten hat das Zähringerhaus?,3,2,0
"Entrepreneurship, Technologie-Management und Innovation (EnTechnon), Institut für",Wo ist das?,Wo ist das Zähringerhaus?,2,3,0
"Entrepreneurship, Technologie-Management und Innovation (EnTechnon), Institut für",Wie komme ich dahin?,Wo ist das Zähringerhaus?,2,4,0
9651,Wo ist Gebäude 9651?,Wo befindet sich Gebäude 9651?,1,1,0
9651,Gibt es eine Website davon?,Gibt es eine Website für Gebäude 9651?,1,2,0
9651,Wie komme ich dahin?,Wie komme ich zu Gebäude 9651?,1,3,0
